Mutluluk Düzeyi,Yıl,Adana,Adıyaman,Afyonkarahisar,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Ağrı,Balıkesir,Bartın,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Iğdır,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kocaeli,Konya,Kütahya,Kırklareli,Kırıkkale,Kırşehir,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak,Çanakkale,Çankırı,Çorum,İstanbul,İzmir,Şanlıurfa,Şırnak
Çok Memnun,2013,2.93,1.33,8.25,6.08,9.14,5.34,7.55,11.89,2.84,8.37,16.48,1.76,5.27,11.25,1.74,4.29,8.57,7.97,6.44,5.94,5.62,9.21,9.25,4.5,9.1,4.81,7.76,10.61,4.22,8.14,3.05,3.88,9.84,7.42,1.13,11.35,0.75,3.44,3.33,15.68,14.76,8.75,8.58,8.19,6.68,4.92,8.62,5.59,6.37,6.65,3.4,2.4,3.62,7.73,21.15,7.68,4.35,6.97,11.12,2.84,7.55,9.38,7.79,22.7,9.88,11.4,9.24,4.79,4.94,8.85,9.72,4.36,8.11,5.23,5.15,18,13.68,9.71,6.6,7.1,0.68
Memnun,2013,65.54,67.8,71.82,66.7,65.02,66.42,60.9,52.7,77.2,65.01,49.73,73.68,68.48,56.85,72.56,69.72,60.72,62.81,68.58,69.62,70.58,66.44,55.96,68.21,64.89,62.35,62.62,62.98,69.77,61.99,69.48,65.43,67.38,62.72,78.25,55.29,69.66,70.2,73.45,53.65,57.59,63.81,61.59,65.13,71.34,75.84,65.41,73.51,65.65,64.49,70.78,56.74,63.46,64.51,43.24,65.55,72.99,61.65,55.35,74.64,73.2,61.62,61.56,48.55,59.31,64.04,62.57,67.15,54.95,69.91,59.13,73.55,61.57,64.31,64.98,56.63,49.39,62.92,64.65,64.84,68.7
Orta,2013,13.63,12.58,7.17,14.26,12.73,14.66,17.91,11.47,8.92,13.66,13.25,13.35,12.83,14.87,12.57,14.07,12.32,8.67,15.16,13,10.67,14.38,10.83,10.52,15.96,12.88,13.49,12.42,11.62,10.5,12.36,17.24,7.44,14.9,11.78,11.53,11.59,13.2,9.91,10.26,15.31,14.11,10.33,15.7,11.22,8.44,15.33,8.4,10.1,12.93,12.14,13.94,15.51,16.28,12.78,11.8,8.95,16.43,15.85,8.84,10.02,16.32,11.36,13.38,15.01,13.11,12.8,14.47,13.61,10.07,9.92,13,10.48,16.32,17.67,10.71,18.26,15,15.45,8.3,11.8
Memnun Değil,2013,16.4,14.11,11.58,10.68,11.97,12.12,11.18,15.31,10.08,11.07,13.2,9.82,11.01,14.81,12.02,11.2,15.44,16.65,8.81,10.45,11.9,8.81,19.63,11.73,8.27,17.31,12.3,12.92,13.4,16.79,13.56,12.3,13.99,11.58,8.33,16.62,14.96,11.29,12.18,16.81,10.61,10.39,16.88,9.13,9.84,9.7,9.18,10.6,14.48,13.23,12.45,24.34,16.23,9.93,16.13,11.9,11.73,13.19,14.32,13.03,6.83,10.93,18.35,14.17,11.87,9.9,13.26,12.25,21.69,9.84,18.04,8.6,14.69,12.34,10.23,12.92,13.17,10.65,11.52,16.21,16.21
Hiç Memnun Değil,2013,1.5,4.17,1.17,2.28,1.14,1.46,2.46,8.62,0.95,1.89,7.35,1.39,2.41,2.22,1.12,0.73,2.95,3.91,1.02,1,1.22,1.17,4.33,5.03,1.79,2.65,3.83,1.06,0.99,2.57,1.55,1.14,1.35,3.38,0.51,5.21,3.05,1.87,1.12,3.61,1.73,2.93,2.62,1.87,0.91,1.1,1.46,1.9,3.4,2.69,1.23,2.58,1.18,1.55,6.7,3.07,1.97,1.76,3.36,0.64,2.41,1.76,0.95,1.2,3.93,1.55,2.13,1.34,4.81,1.32,3.19,0.49,5.15,1.8,1.97,1.74,5.51,1.72,1.78,3.56,2.61
