Yıl,Tür,Adana,Adıyaman,Afyonkarahisar,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Ağrı,Balıkesir,Bartın,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Iğdır,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kocaeli,Konya,Kütahya,Kırklareli,Kırıkkale,Kırşehir,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak,Çanakkale,Çankırı,Çorum,İstanbul,İzmir,Şanlıurfa,Şırnak
2017,Lise,13,13,11,13,11,10,11,12,10,11,17,11,11,16,13,12,12,15,11,12,11,11,16,13,9,11,10,12,10,16,10,11,19,14,10,14,15,10,12,14,11,13,15,13,13,12,11,11,10,11,12,15,12,10,15,11,12,11,14,11,14,11,15,10,12,13,12,11,8,13,16,11,12,13,10,11,11,13,11,16,17
2018,Lise,12,11,11,12,10,9,11,11,9,10,15,10,11,14,12,12,11,13,10,10,11,10,14,12,9,10,9,11,9,14,10,10,15,13,10,13,14,9,12,13,10,13,14,12,12,11,11,10,9,10,11,13,11,9,13,11,11,10,13,10,12,11,13,9,11,12,11,10,7,11,14,10,10,12,9,10,10,13,10,14,15
2019,Lise,13,11,11,11,10,9,11,11,9,10,15,9,10,12,12,12,11,13,10,10,10,10,13,11,8,10,9,11,9,13,9,9,15,13,9,12,13,9,11,13,10,12,14,11,11,10,10,9,9,10,12,13,11,9,13,11,11,10,13,9,11,10,13,9,10,12,10,9,7,10,13,10,10,12,9,10,10,13,10,13,14
2020,Lise,14,13,12,13,11,11,12,13,10,10,17,11,11,15,13,12,13,16,11,11,12,11,16,12,9,11,10,12,10,16,10,10,17,15,11,14,14,9,12,15,10,14,17,13,12,11,11,9,10,12,13,15,13,11,16,11,12,10,14,10,12,12,16,10,11,13,11,10,8,12,16,11,11,12,10,10,11,15,11,17,17
2021,Lise,18,17,16,17,13,14,16,14,13,13,22,13,14,22,18,16,17,22,14,12,15,13,21,17,11,15,14,17,14,21,11,14,25,19,13,17,18,12,15,19,14,17,17,17,16,14,14,13,11,14,16,21,16,14,20,13,16,13,16,13,16,14,21,13,15,19,13,13,12,14,21,15,14,14,12,15,14,20,15,22,24
2012,İlkokul,22,19,18,19,13,17,19,19,15,16,26,16,17,24,14,17,20,21,16,13,20,15,24,18,14,16,14,18,15,25,18,18,30,20,18,19,21,15,16,18,17,20,20,21,19,16,17,16,12,15,17,22,17,16,26,16,17,17,20,14,21,16,23,19,17,21,17,16,12,15,25,17,15,17,14,19,16,25,16,26,29
2013,İlkokul,20,19,17,18,12,17,18,18,15,15,28,15,16,24,15,17,19,22,16,13,19,14,24,17,14,17,14,18,15,25,17,19,30,19,16,20,21,15,16,20,15,19,21,20,17,15,16,15,13,15,16,24,16,14,26,15,16,17,18,14,18,15,23,17,18,21,15,15,11,15,27,16,16,16,14,17,16,24,16,29,34
2014,İlkokul,19,17,15,16,12,17,16,15,14,14,24,14,15,24,14,17,19,21,15,12,19,14,23,16,14,17,13,17,15,23,16,15,25,18,14,19,19,14,16,19,15,18,19,19,17,14,16,14,11,15,16,23,15,14,22,14,15,15,17,14,18,14,20,15,16,19,14,15,11,14,24,16,14,15,14,16,15,23,16,27,31
2015,İlkokul,18,17,14,16,13,16,16,16,13,14,21,14,14,23,15,16,19,19,14,12,18,14,22,16,13,16,13,18,14,23,15,15,21,17,13,19,18,14,15,18,14,18,19,18,16,13,16,13,11,15,15,22,15,13,21,14,15,15,16,14,17,14,21,15,16,19,14,15,12,13,22,15,14,15,13,16,15,21,16,26,26
2016,İlkokul,17,16,14,15,13,16,15,13,13,13,18,13,13,19,14,16,16,16,14,11,18,13,20,14,12,15,12,15,13,21,14,13,19,17,13,16,18,13,14,15,14,17,20,17,15,13,15,13,11,14,14,19,15,13,18,13,14,14,15,13,16,13,18,14,15,18,13,14,11,13,19,15,13,14,13,16,14,21,15,23,23
2017,İlkokul,18,17,14,16,13,16,16,15,13,13,20,13,14,19,15,16,17,17,15,12,18,14,20,15,13,15,13,16,13,22,14,14,19,17,13,16,19,13,14,16,15,17,23,18,16,13,15,13,11,15,15,21,15,13,19,13,15,15,17,13,16,14,18,15,15,18,13,14,11,13,19,16,14,14,14,16,15,21,15,26,23
2018,İlkokul,19,17,15,16,14,16,16,13,13,14,17,14,16,18,15,19,15,15,16,13,19,14,19,16,13,16,13,16,14,23,15,13,17,18,14,16,21,15,15,15,15,18,21,18,17,14,16,13,12,15,16,19,16,13,16,14,15,16,18,14,17,15,17,15,15,20,14,15,12,13,17,17,14,15,15,17,16,22,15,23,19
2019,İlkokul,19,16,14,16,13,16,16,12,13,14,16,14,14,18,14,17,15,14,15,12,19,14,18,15,13,15,13,15,14,23,15,13,16,17,13,14,19,13,14,13,15,18,20,18,17,14,15,14,12,16,15,18,16,13,15,14,15,15,18,14,15,14,16,14,14,19,13,15,11,13,16,16,13,14,14,17,16,21,15,21,18
2020,İlkokul,19,17,14,15,13,16,16,12,14,14,16,14,14,18,13,17,16,15,16,13,19,15,18,15,13,16,14,15,14,23,14,14,17,17,14,14,19,13,14,13,14,18,20,18,17,14,16,14,12,16,15,18,17,14,15,14,15,15,17,14,16,14,16,14,14,20,13,15,12,13,17,17,13,13,15,17,16,21,15,22,19
2021,İlkokul,19,17,14,16,13,16,17,12,14,14,16,14,14,19,14,17,15,15,16,13,19,15,18,15,13,16,15,16,15,22,15,14,16,17,14,14,19,14,14,13,15,18,19,18,17,14,16,14,13,17,16,19,17,14,16,14,16,15,17,14,16,15,16,14,14,19,14,15,13,13,17,17,14,13,15,18,16,21,16,22,18
