Province,Region,CinemaSeats,TheatreSeats,StudentsPerClassroom,StudentsPerTeacher,BooksPerPeople,DoctorsPerPatients,HospitalBedsPerPatient,CrimeRate,EarthquakeRisk,Culture,Education,Healthcare,Security,Rating,Rank
Erzincan,Eastern Anatolia,1.48,0.5,7.93,8.02,3.79,1.74,4.36,-4.73,-10.0,12.09,72.74,37.4,31.52,46.02,33
Erzurum,Eastern Anatolia,4.04,0.45,6.96,6.58,2.25,5.22,8.87,-4.15,-7.0,28.86,55.97,86.39,53.43,59.55,9
Eskişehir,Central Anatolia,5.29,1.25,6.81,7.11,1.12,5.22,8.04,-5.38,-7.0,42.55,52.78,81.3,45.9,56.91,12
Gaziantep,Southeastern Anatolia,3.31,0.13,3.63,2.67,0.12,2.17,3.02,-5.52,-4.0,21.84,16.18,31.82,63.4,32.6,68
Giresun,Black Sea,1.64,0.61,8.07,7.33,2.07,1.74,5.28,-6.06,-4.0,13.89,63.1,43.04,60.1,51.18,21
Gümüşhane,Black Sea,0.0,1.1,8.74,7.49,4.25,0.87,2.89,-5.88,-4.0,6.21,75.88,23.05,61.2,50.29,23
Hakkari,Eastern Anatolia,0.0,0.3,0.81,1.44,0.66,0.0,0.57,-0.4,-10.0,0.87,1.27,3.49,58.02,15.96,81
Hatay,Mediterranean,2.97,0.56,3.93,4.81,0.56,1.74,1.49,-3.54,-10.0,22.44,28.41,19.8,38.8,28.11,75
Isparta,Mediterranean,2.7,0.85,8.22,7.86,5.99,7.39,8.92,-6.56,-10.0,22.58,82.63,100.0,20.32,63.89,6
Iğdır,Eastern Anatolia,0.0,0.71,4.74,4.97,1.58,0.0,0.8,-4.51,-7.0,3.61,36.86,4.9,51.22,28.3,74
Kahramanmaraş,Mediterranean,3.36,0.64,4.67,4.97,0.34,1.3,2.04,-4.48,-7.0,25.58,31.3,20.48,51.41,32.91,67
Karabük,Black Sea,4.4,0.93,7.93,7.86,1.89,2.17,4.28,-4.56,-10.0,34.47,63.99,39.55,32.56,46.33,31
Karaman,Central Anatolia,1.59,0.42,7.63,6.79,2.37,1.3,3.32,-10.0,-1.0,12.29,60.21,28.33,54.35,44.78,35
Kars,Eastern Anatolia,1.12,0.57,6.37,5.51,1.99,2.17,3.43,-4.25,-7.0,10.15,47.81,34.33,52.82,40.98,43
Kastamonu,Black Sea,2.16,0.51,7.56,7.49,3.55,1.3,4.41,-5.78,-4.0,16.7,67.9,35.01,61.81,51.76,19
Kayseri,Central Anatolia,3.1,0.89,6.0,5.88,0.99,4.35,4.72,-6.49,-4.0,25.52,43.57,55.61,57.47,47.8,29
Kilis,Southeastern Anatolia,0.0,0.69,5.93,4.97,1.18,2.61,0.7,-5.83,-4.0,3.47,40.21,20.29,61.51,35.96,59
Kocaeli,Marmara,3.77,0.61,5.78,5.35,0.0,3.04,3.04,-3.3,-10.0,28.12,36.18,37.28,40.27,36.47,57
Konya,Central Anatolia,4.52,0.36,6.22,6.04,1.1,3.91,5.1,-5.09,-4.0,31.46,45.65,55.24,66.03,51.37,20
Kütahya,Aegean,4.28,0.72,7.93,7.65,1.86,0.87,4.61,-4.95,-7.0,32.26,62.97,33.6,48.53,48.18,28
Kırklareli,Marmara,3.1,0.57,7.33,6.79,2.05,1.74,2.5,-5.89,-1.0,23.38,57.58,26.0,79.5,50.89,22
Kırıkkale,Central Anatolia,3.91,0.33,7.93,7.49,2.38,6.52,4.43,-4.95,-10.0,27.19,64.5,67.14,30.17,51.91,18
Kırşehir,Central Anatolia,3.29,1.56,8.15,8.4,3.71,1.3,2.55,-4.46,-10.0,31.26,74.95,23.61,33.17,46.21,32
Malatya,Eastern Anatolia,4.78,2.03,5.93,7.33,1.16,4.35,4.66,-3.84,-7.0,44.36,50.15,55.24,55.32,51.99,16
Manisa,Aegean,3.96,0.54,6.74,6.95,0.86,3.04,4.15,-8.88,-10.0,28.92,50.7,44.08,6.12,35.18,62
Mardin,Southeastern Anatolia,4.16,0.6,4.07,3.21,0.38,0.0,0.0,-0.59,-4.0,30.66,21.44,0.0,93.57,35.26,61
Mersin,Mediterranean,3.0,1.26,5.19,6.58,0.5,2.17,1.88,-7.69,-4.0,27.32,41.02,24.83,50.12,37.53,51
Muğla,Aegean,5.17,3.29,7.11,8.02,1.15,2.61,2.58,-8.0,-10.0,55.38,58.05,31.82,11.51,39.52,48
Muş,Eastern Anatolia,1.27,0.63,5.11,2.83,1.28,0.43,1.52,-0.0,-10.0,11.56,28.07,11.96,60.47,30.08,72
Nevşehir,Central Anatolia,6.69,2.32,8.07,7.65,10.0,1.3,2.04,-8.19,-4.0,59.05,98.13,20.48,47.06,61.06,8
Niğde,Central Anatolia,1.57,0.64,7.41,6.95,2.63,0.87,1.91,-7.74,-1.0,13.63,61.06,17.04,68.18,45.91,34
Ordu,Black Sea,2.44,0.82,6.96,6.95,1.73,1.74,3.51,-5.25,-4.0,20.64,55.33,32.19,65.06,47.64,30
Osmaniye,Mediterranean,2.18,0.59,4.15,6.04,0.65,1.3,1.68,-5.97,-10.0,17.37,34.95,18.27,23.93,25.83,78
Rize,Black Sea,1.94,0.84,8.22,7.86,3.12,2.61,4.79,-2.54,-1.0,17.43,70.45,45.37,100.0,64.94,5
Sakarya,Marmara,4.71,0.83,5.48,6.04,0.52,1.3,1.55,-5.79,-10.0,35.87,40.04,17.47,25.03,30.12,71
Samsun,Black Sea,4.25,0.57,6.37,7.11,0.69,4.78,5.13,-5.5,-7.0,31.06,49.09,60.76,45.17,48.77,26
Siirt,Southeastern Anatolia,2.01,0.59,5.63,3.58,1.6,0.87,1.75,-1.1,-10.0,16.23,34.82,16.06,53.73,32.53,69
Sinop,Black Sea,0.0,2.22,8.59,7.49,4.02,0.87,3.22,-5.32,-4.0,13.69,74.27,25.08,64.63,51.99,17
Sivas,Central Anatolia,3.37,0.65,6.81,6.95,3.21,4.35,6.91,-2.72,-4.0,25.72,60.98,69.04,80.54,63.48,7
Tekirdağ,Marmara,3.86,0.19,5.93,4.65,0.48,2.17,2.32,-4.26,-7.0,25.92,35.88,27.53,52.75,36.76,55
Tokat,Black Sea,2.59,0.34,6.96,7.11,1.53,2.61,5.03,-5.21,-10.0,18.44,55.16,46.84,28.58,41.84,40
Trabzon,Black Sea,5.5,0.96,7.33,8.02,1.3,6.09,8.12,-4.35,-1.0,42.02,59.62,87.12,88.92,71.62,1
Tunceli,Eastern Anatolia,1.49,5.99,10.0,10.0,6.16,2.17,2.45,-5.32,-10.0,48.83,100.0,28.33,27.91,57.66,11
Uşak,Aegean,4.97,0.38,7.19,7.49,2.18,1.3,4.07,-9.18,-10.0,34.6,60.51,32.92,4.28,36.32,58
Van,Eastern Anatolia,0.95,0.14,5.11,1.76,0.18,1.74,2.68,-1.88,-7.0,6.15,18.85,27.1,67.32,31.44,70
Yalova,Marmara,8.24,1.22,7.26,7.33,0.6,2.17,1.29,-4.41,-10.0,62.06,53.42,21.21,33.48,41.46,42
Yozgat,Central Anatolia,1.39,0.86,8.37,7.65,2.35,2.17,2.71,-3.18,-4.0,13.89,66.92,29.92,77.72,53.74,13
Zonguldak,Black Sea,5.28,1.9,7.04,6.95,0.66,3.91,5.62,-6.79,-7.0,46.83,51.13,58.43,37.27,48.95,24
Çanakkale,Marmara,3.04,2.4,8.0,8.02,1.47,3.48,4.07,-8.54,-10.0,35.2,63.18,46.29,8.2,41.72,41
Çankırı,Central Anatolia,2.15,0.45,8.3,7.11,6.22,0.87,2.73,-3.01,-10.0,16.23,80.76,22.07,42.04,48.34,27
Çorum,Black Sea,2.53,0.37,7.04,7.33,3.06,1.3,3.61,-6.22,-7.0,18.24,62.93,30.1,40.76,43.59,39
İstanbul,Marmara,10.0,1.17,3.56,3.58,0.06,3.91,2.84,-1.86,-7.0,73.48,19.49,41.39,67.44,43.7,38
İzmir,Aegean,5.15,1.45,5.26,7.11,0.08,6.52,4.02,-8.13,-10.0,42.95,41.78,64.62,10.71,39.87,45
Şanlıurfa,Southeastern Anatolia,1.66,0.12,2.96,0.0,0.1,1.3,0.67,-1.16,-4.0,10.75,1.91,12.08,90.09,27.6,76
Şırnak,Eastern Anatolia,0.0,0.17,2.3,0.7,0.33,0.43,0.52,-0.07,-7.0,0.0,3.06,5.82,78.4,22.2,79
