Province,Region,CinemaSeats,TheatreSeats,StudentsPerClassroom,StudentsPerTeacher,BooksPerPeople,DoctorsPerPatients,HospitalBedsPerPatient,CrimeRate,EarthquakeRisk,Culture,Education,Healthcare,Security,Rating,Rank
Adana,Mediterranean,4.67,0.42,4.74,5.19,0.33,3.91,4.38,-7.8,-7.0,32.87,32.48,50.83,31.09,36.77,54
Adıyaman,Southeastern Anatolia,0.67,0.29,4.3,5.72,0.7,0.43,1.21,-1.27,-7.0,5.28,34.44,10.06,71.05,33.85,65
Afyonkarahisar,Aegean,2.67,0.74,7.33,6.79,1.91,2.61,3.97,-6.53,-7.0,21.64,56.99,40.34,38.86,43.88,37
Aksaray,Central Anatolia,1.56,1.54,7.11,6.42,1.44,0.87,1.52,-3.85,-1.0,19.57,52.48,14.65,91.98,48.78,25
Amasya,Black Sea,2.12,0.55,7.56,8.18,2.51,1.3,3.38,-6.18,-10.0,16.7,66.41,28.69,22.64,39.82,46
Ankara,Central Anatolia,7.07,0.59,5.33,6.58,1.05,10.0,6.01,-2.71,-4.0,50.03,43.95,98.16,80.6,67.43,3
Antalya,Mediterranean,4.71,0.67,6.3,6.42,0.34,4.78,2.84,-8.71,-7.0,34.8,44.37,46.72,25.52,39.05,49
Ardahan,Eastern Anatolia,0.0,0.99,8.22,6.79,2.75,2.17,3.07,-8.42,-7.0,5.48,64.33,32.13,27.29,39.66,47
Artvin,Black Sea,5.14,10.0,8.81,8.02,4.63,1.74,2.22,-2.79,-4.0,100.0,80.04,24.28,80.11,68.61,2
Aydın,Aegean,3.83,0.95,7.11,7.65,1.26,3.91,3.69,-9.88,-10.0,30.79,56.94,46.6,0.0,36.85,52
Ağrı,Eastern Anatolia,0.68,0.14,2.81,0.53,0.61,0.0,0.64,-2.6,-7.0,4.34,5.69,3.92,62.91,19.38,80
Balıkesir,Marmara,3.17,2.77,6.74,7.65,1.71,1.74,3.35,-8.72,-10.0,38.54,57.28,31.21,7.1,35.88,60
Bartın,Black Sea,2.89,1.92,8.07,7.49,1.85,1.3,2.55,-5.6,-10.0,31.0,62.85,23.61,26.19,39.89,44
Batman,Southeastern Anatolia,2.8,0.4,2.37,2.67,0.43,0.87,1.75,-1.14,-7.0,20.24,12.14,16.06,71.85,29.06,73
Bayburt,Black Sea,0.0,1.1,8.44,7.65,5.63,2.61,1.91,-2.6,-4.0,6.21,81.15,27.71,81.27,58.45,10
Bilecik,Marmara,1.58,0.0,8.22,6.95,3.3,0.87,1.19,-5.23,-10.0,9.42,67.35,12.63,28.46,36.71,56
Bingöl,Eastern Anatolia,1.22,0.92,5.93,5.35,1.82,0.87,3.2,-3.37,-10.0,13.16,44.54,24.95,39.84,34.54,64
Bitlis,Eastern Anatolia,0.91,0.94,6.22,4.12,1.57,0.43,2.89,-2.17,-7.0,11.22,39.49,20.36,65.54,37.69,50
Bolu,Black Sea,0.0,0.85,7.63,7.11,3.16,6.09,9.66,-7.86,-10.0,4.54,64.93,96.57,12.36,52.15,15
Burdur,Mediterranean,3.09,0.9,8.44,8.4,4.49,1.74,3.63,-7.59,-10.0,25.52,79.49,32.92,14.01,44.73,36
Bursa,Marmara,4.05,0.6,4.89,5.72,0.12,2.61,2.91,-4.37,-10.0,29.93,34.48,33.84,33.72,33.56,66
Denizli,Aegean,3.38,1.08,6.96,7.65,1.7,3.91,3.53,-9.86,-10.0,28.66,58.17,45.62,0.12,36.83,53
Diyarbakır,Southeastern Anatolia,2.0,0.24,0.0,2.51,0.1,2.61,4.33,-3.67,-7.0,13.83,0.0,42.55,56.36,26.46,77
Düzce,Black Sea,2.19,0.56,7.33,6.95,0.86,3.48,1.75,-6.63,-10.0,17.23,53.21,32.07,19.89,35.1,63
Edirne,Marmara,5.23,0.66,7.85,7.65,2.92,6.96,9.25,-9.08,-4.0,38.21,67.13,99.39,41.62,65.2,4
Elazığ,Eastern Anatolia,1.56,1.35,5.48,6.58,0.98,5.22,10.0,-5.54,-7.0,18.3,44.29,93.32,44.92,53.46,14
