Province,Region,CinemaSeats,TheatreSeats,StudentsPerClassroom,StudentsPerTeacher,BooksPerPeople,DoctorsPerPatients,HospitalBedsPerPatient,CrimeRate,EarthquakeRisk,Culture,Education,Healthcare,Security,Rating,Rank
Adana,Mediterranean,5.31,2.42,2.32,3.64,0.32,5.0,3.23,-8.9,-7.0,45.18,19.97,46.94,23.36,30.71,67
Adıyaman,Southeastern Anatolia,1.04,0.64,2.8,4.55,0.92,2.08,1.19,-0.83,-7.0,7.58,27.9,17.21,71.94,33.7,60
Afyonkarahisar,Aegean,3.54,1.39,6.83,6.64,1.86,3.33,2.8,-5.84,-7.0,27.78,56.04,34.35,41.78,43.52,40
Aksaray,Central Anatolia,1.75,3.31,5.85,5.45,1.62,1.67,0.78,-4.53,-1.0,28.59,46.43,12.29,85.79,45.5,34
Amasya,Black Sea,2.39,2.66,6.59,7.55,2.81,2.08,2.21,-6.38,-10.0,28.53,62.5,23.32,20.47,37.95,47
Ankara,Central Anatolia,8.26,3.21,4.63,6.0,1.1,10.0,4.12,-3.43,-4.0,68.43,41.69,82.25,74.35,63.34,4
Antalya,Mediterranean,5.95,3.26,5.0,5.73,0.31,5.42,2.19,-9.67,-7.0,54.38,38.94,43.23,18.72,36.89,53
Ardahan,Eastern Anatolia,0.0,4.41,8.17,6.36,3.3,2.08,1.1,-5.88,-7.0,24.55,66.0,16.67,41.54,42.37,42
Artvin,Black Sea,5.7,9.01,7.93,8.18,4.7,1.67,1.17,-2.74,-4.0,88.56,77.88,14.63,78.51,63.56,3
Aydın,Aegean,4.29,4.07,6.1,7.55,1.26,4.58,2.7,-9.24,-10.0,49.1,54.36,41.25,3.25,37.65,48
Ağrı,Eastern Anatolia,0.51,2.47,1.46,2.73,0.7,0.83,0.59,-2.42,-7.0,15.66,14.43,6.12,62.37,24.49,79
Balıkesir,Marmara,4.22,2.85,5.37,7.27,1.75,2.5,2.42,-8.19,-10.0,41.08,52.29,27.1,9.57,33.91,59
Bartın,Black Sea,2.85,9.34,7.2,6.64,2.48,2.5,2.1,-4.29,-10.0,72.9,59.98,25.18,33.05,46.16,31
Batman,Southeastern Anatolia,3.06,1.7,1.83,2.09,0.37,2.08,1.81,-1.66,-7.0,26.72,12.04,20.92,66.95,29.82,71
Bayburt,Black Sea,0.0,4.87,6.59,6.36,5.52,2.92,2.44,-1.38,-4.0,27.41,68.55,29.74,86.69,58.24,10
Bilecik,Marmara,1.75,0.0,7.07,5.09,3.91,1.67,0.85,-5.43,-10.0,8.02,58.99,12.71,26.19,32.85,63
Bingöl,Eastern Anatolia,1.83,3.84,5.24,4.55,1.95,1.25,2.16,-2.52,-10.0,32.38,41.73,18.05,43.71,35.14,56
Bitlis,Eastern Anatolia,1.1,2.02,4.02,4.18,2.02,1.67,1.83,-2.27,-7.0,16.53,35.67,18.59,63.28,35.91,55
