Province,Region,CinemaSeats,TheatreSeats,StudentsPerClassroom,StudentsPerTeacher,BooksPerPeople,DoctorsPerPatients,HospitalBedsPerPatient,CrimeRate,EarthquakeRisk,Culture,Education,Healthcare,Security,Rating,Rank
Bolu,Black Sea,2.57,10.0,6.1,7.27,3.22,7.08,10.0,-6.07,-10.0,75.26,61.06,100.0,22.34,62.89,5
Burdur,Mediterranean,4.0,5.34,7.56,8.45,4.51,2.5,2.5,-5.9,-10.0,55.19,76.72,27.58,23.36,48.4,26
Bursa,Marmara,4.73,2.11,3.9,4.55,0.07,3.75,2.16,-5.69,-10.0,39.65,28.9,33.03,24.62,30.21,69
Denizli,Aegean,3.8,2.26,5.85,7.27,1.72,5.0,3.16,-9.74,-10.0,34.8,54.09,46.52,0.24,36.32,54
Diyarbakır,Southeastern Anatolia,5.13,0.81,0.0,1.18,0.09,3.75,2.78,-3.29,-7.0,34.06,0.0,36.75,57.13,27.73,76
Düzce,Black Sea,2.41,1.73,4.88,5.73,1.18,4.17,1.3,-7.17,-10.0,22.87,41.93,30.4,15.71,30.11,70
Edirne,Marmara,5.54,2.86,6.95,7.82,2.96,7.92,6.39,-10.0,-4.0,49.35,65.6,83.39,34.8,60.32,7
Elazığ,Eastern Anatolia,2.85,4.45,4.39,5.45,0.84,5.42,7.16,-5.3,-7.0,42.51,37.5,73.02,45.03,48.89,24
Erzincan,Eastern Anatolia,1.65,2.28,7.56,7.82,4.18,3.75,2.72,-5.29,-10.0,21.57,72.9,36.39,27.03,45.89,32
Erzurum,Eastern Anatolia,4.49,0.41,5.12,5.09,2.39,6.25,6.58,-4.88,-7.0,27.59,45.16,74.52,47.56,50.9,19
Eskişehir,Central Anatolia,5.77,6.08,5.37,7.27,1.27,5.83,5.48,-5.68,-7.0,70.79,50.38,65.41,42.75,54.78,14
Gaziantep,Southeastern Anatolia,3.38,2.69,1.71,0.27,0.08,2.92,2.14,-5.42,-4.0,34.87,3.15,27.94,62.37,28.12,74
Giresun,Black Sea,1.42,4.23,7.44,6.91,2.66,2.5,3.95,-3.93,-4.0,32.26,62.73,36.27,71.34,54.46,15
Gümüşhane,Black Sea,0.0,2.6,7.44,7.55,4.42,1.67,1.81,-1.29,-4.0,13.3,72.3,18.47,87.24,55.2,13
Hakkari,Eastern Anatolia,0.0,2.24,0.24,2.36,1.13,0.0,0.91,-0.67,-10.0,11.06,9.8,3.06,54.85,19.54,81
Hatay,Mediterranean,3.45,4.19,3.05,3.64,0.48,2.92,1.47,-4.12,-10.0,44.62,23.52,23.92,34.08,28.9,72
Isparta,Mediterranean,3.07,2.77,7.2,8.18,6.37,7.5,6.75,-7.04,-10.0,33.44,81.63,83.03,16.5,59.67,8
Iğdır,Eastern Anatolia,0.0,3.28,2.44,3.91,1.78,1.67,0.55,-5.4,-7.0,17.53,27.34,10.91,44.43,26.28,77
Kahramanmaraş,Mediterranean,3.11,3.32,3.05,3.64,0.46,2.08,2.29,-3.83,-7.0,37.1,23.44,23.8,53.88,32.85,64
Karabük,Black Sea,4.82,6.13,6.83,7.55,2.38,3.75,2.93,-4.86,-10.0,65.2,61.74,37.65,29.62,48.12,29
Karaman,Central Anatolia,4.8,4.03,7.07,5.73,2.52,2.5,1.74,-8.87,-1.0,52.02,56.0,23.02,59.66,48.17,27
Kars,Eastern Anatolia,1.88,2.82,3.9,5.09,2.6,3.75,2.53,-4.7,-7.0,26.35,41.13,35.25,48.65,39.69,46
Kastamonu,Black Sea,2.41,4.03,6.46,6.91,3.67,1.67,2.65,-5.38,-4.0,37.17,62.85,23.5,62.61,49.74,21
Kayseri,Central Anatolia,4.64,4.29,4.39,4.55,0.93,5.0,3.31,-6.78,-4.0,52.64,34.28,47.42,54.18,44.84,39
Kilis,Southeastern Anatolia,2.81,9.56,4.27,3.27,1.71,4.58,2.27,-6.05,-4.0,74.02,31.81,38.67,58.58,45.49,35
Kocaeli,Marmara,5.36,3.86,4.15,4.18,0.06,3.75,2.27,-3.67,-10.0,54.44,28.38,33.69,36.79,35.07,57
Konya,Central Anatolia,5.12,3.77,5.37,6.0,1.12,4.58,3.31,-6.19,-4.0,52.39,44.72,44.9,57.74,48.98,23
Kütahya,Aegean,5.96,5.29,6.59,7.27,1.9,2.5,2.97,-4.72,-7.0,67.06,57.75,30.4,48.52,49.77,20
Kırklareli,Marmara,3.49,4.71,6.22,5.73,2.24,2.5,2.34,-8.02,-1.0,48.1,51.49,26.62,64.78,48.17,28
Kırıkkale,Central Anatolia,8.42,1.58,7.07,7.55,2.57,7.08,5.43,-4.33,-10.0,59.29,63.45,72.6,32.81,57.56,12
Kırşehir,Central Anatolia,3.68,1.59,7.07,8.73,3.67,2.92,1.74,-4.6,-10.0,29.89,72.54,25.54,31.19,45.12,36
Malatya,Eastern Anatolia,5.61,7.62,4.63,6.91,1.19,5.42,4.25,-3.85,-7.0,79.37,45.68,55.58,53.76,54.39,16
Manisa,Aegean,4.34,2.36,4.63,6.36,0.9,3.75,3.21,-7.78,-10.0,38.78,42.33,39.33,12.04,33.56,62
Mardin,Southeastern Anatolia,1.59,2.7,2.8,1.82,0.39,1.25,0.0,-1.04,-4.0,23.8,14.91,5.1,88.74,32.03,65
Mersin,Mediterranean,2.66,5.38,3.66,6.0,0.56,2.92,1.74,-8.17,-4.0,47.11,35.67,25.54,45.82,37.1,52
Muğla,Aegean,5.63,5.91,6.46,7.82,1.18,3.75,1.91,-7.81,-10.0,68.86,56.56,31.53,11.86,40.67,44
Muş,Eastern Anatolia,1.44,1.56,4.51,3.0,1.4,0.83,1.04,-1.47,-10.0,15.79,30.45,8.81,50.03,28.1,75
Nevşehir,Central Anatolia,7.39,7.01,7.07,7.27,10.0,2.08,1.68,-7.54,-4.0,86.64,91.95,20.14,49.61,62.75,6
Niğde,Central Anatolia,1.86,1.33,5.37,6.36,2.34,1.67,1.91,-6.1,-1.0,16.97,51.02,19.06,76.34,45.1,38
Ordu,Black Sea,2.4,5.33,5.73,6.64,1.94,2.5,2.33,-4.73,-4.0,45.18,51.97,26.56,66.53,48.41,25
Osmaniye,Mediterranean,2.42,2.14,3.54,5.09,0.76,2.08,1.78,-7.11,-10.0,25.48,32.36,20.74,16.07,24.52,78
Rize,Black Sea,3.71,3.14,7.56,6.64,3.28,4.58,3.46,-3.48,-1.0,39.71,64.61,45.8,92.11,63.67,2
Sakarya,Marmara,6.54,4.59,3.05,4.18,0.5,2.92,1.08,-4.88,-10.0,66.31,25.75,21.58,29.5,30.72,66
Samsun,Black Sea,3.38,2.76,4.63,6.64,0.76,5.83,4.06,-5.87,-7.0,35.3,42.89,56.89,41.6,45.12,37
Siirt,Southeastern Anatolia,3.65,4.44,4.39,1.82,1.46,1.67,2.25,-1.19,-10.0,47.42,25.51,21.1,51.72,33.7,61
Sinop,Black Sea,0.0,9.16,7.2,6.91,4.61,2.08,2.06,-5.23,-4.0,54.07,69.55,22.42,63.52,54.32,17
Sivas,Central Anatolia,3.11,3.62,6.1,6.0,3.77,5.0,5.44,-4.1,-4.0,38.97,58.19,60.19,70.32,59.32,9
Tekirdağ,Marmara,4.27,4.04,4.76,3.27,0.48,2.5,1.78,-5.19,-7.0,48.79,28.86,23.26,45.7,34.16,58
Tokat,Black Sea,7.32,2.42,4.51,6.64,1.66,3.75,3.35,-4.19,-10.0,57.68,45.99,40.17,33.65,42.91,41
Trabzon,Black Sea,6.12,9.06,5.49,7.27,1.6,6.67,5.54,-2.17,-1.0,91.49,52.17,70.8,100.0,73.7,1
Tunceli,Eastern Anatolia,1.66,4.07,10.0,10.0,6.36,3.33,1.83,-3.63,-10.0,32.75,100.0,28.54,37.03,57.99,11
Uşak,Aegean,4.31,2.46,6.22,7.27,1.91,2.5,4.06,-8.25,-10.0,39.22,56.32,36.93,9.21,37.56,49
Van,Eastern Anatolia,1.27,0.75,2.93,2.09,0.12,2.5,2.02,-2.53,-7.0,9.7,15.42,24.7,61.71,28.6,73
Yalova,Marmara,8.79,4.23,4.63,6.91,0.89,2.92,1.08,-6.27,-10.0,78.06,44.48,21.58,21.13,37.12,51
Yozgat,Central Anatolia,1.99,2.78,7.2,6.91,2.58,2.92,1.64,-3.18,-4.0,26.79,61.46,24.94,75.86,51.6,18
Zonguldak,Black Sea,5.05,5.14,5.49,5.45,0.85,4.58,4.35,-5.15,-7.0,60.47,41.93,51.14,45.94,47.55,30
Çanakkale,Marmara,4.03,2.88,6.71,7.82,1.7,4.58,2.57,-6.83,-10.0,40.09,59.63,40.47,17.76,41.93,43
Çankırı,Central Anatolia,3.73,2.2,7.68,6.0,7.23,1.67,2.59,-3.18,-10.0,34.0,78.28,23.14,39.74,49.32,22
Çorum,Black Sea,2.95,1.83,7.2,6.64,3.32,2.08,3.18,-5.14,-7.0,26.85,63.33,29.14,46.0,45.89,33
İstanbul,Marmara,10.0,6.55,1.95,1.82,0.0,5.42,2.02,-3.57,-7.0,100.0,9.96,42.21,55.45,40.65,45
İzmir,Aegean,5.61,7.08,4.02,6.36,0.07,7.08,2.82,-9.78,-10.0,76.01,36.59,56.95,0.0,37.46,50
Şanlıurfa,Southeastern Anatolia,1.88,1.1,2.8,0.0,0.09,2.5,0.76,-1.21,-4.0,15.66,6.46,17.15,87.72,30.6,68
Şırnak,Eastern Anatolia,0.0,0.46,1.59,0.91,0.33,0.0,0.4,-0.0,-7.0,0.0,6.22,0.0,76.94,21.57,80
