Mutluluk Düzeyi,Yıl,Adana,Adıyaman,Afyonkarahisar,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Ağrı,Balıkesir,Bartın,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Iğdır,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kilis,Kocaeli,Konya,Kütahya,Kırklareli,Kırıkkale,Kırşehir,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak,Çanakkale,Çankırı,Çorum,İstanbul,İzmir,Şanlıurfa,Şırnak
Çok Mutlu,2013,6.73,2.59,6.41,8.97,11.58,10.64,12.3,15.26,4.99,9.62,16.15,4.64,7.44,8.49,6.93,7.91,11.31,7.2,9.19,11.46,11.71,10.81,5.66,6.85,9.5,9.53,12.4,13.41,7.38,6.27,7.47,7.26,8.35,8.68,5.95,11.3,5.04,5.43,6.29,15.48,8,12.1,11.09,12,7.73,6.16,9.71,7.57,9.16,9.53,4.96,3.76,6.38,8.73,14.07,10.45,7.74,9.41,10.21,6.89,11.55,8.46,5.55,26.11,13.63,11.25,11.6,7.59,6.85,7.9,9.26,11.29,12.83,7.81,6.9,21.03,8.26,12.32,8.12,4.46,2.68
Mutlu,2013,46.27,62.42,70.02,58.87,54.44,45.59,37.49,45.45,57.73,43.84,43.94,66.09,52.95,43.78,68.99,55.64,48.19,51.89,60.96,45.35,49.4,45.94,43.01,65.92,44.56,42.2,52.18,52.27,55.3,51.82,57.98,53.79,62.23,41.63,64.4,48.3,63.15,50.95,56.74,41.02,51.96,46.01,49.76,45.18,57.83,67.6,43.48,67.91,58.05,44.39,58.96,47.84,46.46,43.67,40.6,54.07,57.2,48.78,35.57,54.67,58.09,52.55,66.1,51.55,45.89,45.29,47.74,50,35.13,64.44,49.43,52.44,47.86,43.32,56.73,52.47,48.3,46.08,50.12,52.87,68.68
Orta,2013,32.45,23.79,13.82,23.39,27.13,33.82,38.51,25.09,27.85,34.76,23.49,21.83,30.13,30.57,17.11,30.67,27.15,22.98,24.23,35.24,29.96,33.86,26.58,17.18,35.55,32.77,23.36,23.71,27.98,28.24,27.04,31.27,16.2,37.96,24.1,25.97,23.26,33.07,25.99,27.76,32.16,31.41,23.59,33.99,25.83,19.07,34.6,16.08,24.73,31.5,27.77,30.02,33.68,37.83,26.99,26.96,25.84,33.06,37.32,30.81,23.37,29.27,17.42,15.6,29.08,33.61,31.48,31.22,33.82,20.41,26.87,28.19,25.77,36.75,28.64,18.19,34.35,32.49,31.11,21.64,20.89
Mutsuz,2013,10.4,9.48,8.14,6.33,5.35,7.42,7.99,9.31,6.59,8.69,11.33,5.92,7.91,13.82,5.57,5.31,10.34,13.02,4.36,6.35,6.58,7.57,20.22,8.67,7.77,11.33,7.65,8.41,7.53,11.02,6.15,6.79,11.88,7.82,4.29,10.69,7.14,8.58,8.94,11.53,6.14,7.03,11.36,6.51,7.16,5.8,8.11,6.37,5.75,11.53,6.45,15.63,10.61,7.55,11.3,6.07,6.69,7.61,8.59,6.1,4.73,7.53,10.4,6.18,7.91,7.11,6.53,9.04,16.97,6.44,12.15,6.06,8.86,9.83,6.26,7.27,6.88,6.73,7.9,18.32,7.03
Çok Mutsuz,2013,4.15,1.73,1.61,2.44,1.5,2.54,3.71,4.88,2.85,3.09,5.09,1.52,1.56,3.34,1.4,0.46,3.02,4.92,1.27,1.6,2.36,1.83,4.53,1.39,2.62,4.17,4.42,2.19,1.8,2.65,1.36,0.89,1.34,3.91,1.26,3.73,1.41,1.97,2.06,4.2,1.74,3.45,4.2,2.32,1.45,1.37,4.1,2.08,2.32,3.05,1.86,2.75,2.86,2.23,7.04,2.44,2.53,1.15,8.32,1.53,2.26,2.18,0.53,0.56,3.49,2.74,2.66,2.14,7.23,0.81,2.29,2.02,4.68,2.3,1.47,1.04,2.22,2.39,2.76,2.72,0.72
