Province,Region,CinemaSeats,TheatreSeats,StudentsPerClassroom,StudentsPerTeacher,BooksPerPeople,DoctorsPerPatients,HospitalBedsPerPatient,CrimeRate,EarthquakeRisk,Culture,Education,Healthcare,Security,Rating,Rank
Denizli,Aegean,4.18,3.6,5.49,7.26,1.72,4.35,4.71,-9.91,-10.0,53.69,49.48,51.95,0.0,38.25,51
Diyarbakır,Southeastern Anatolia,4.36,2.05,1.34,2.42,0.1,2.61,3.61,-3.41,-7.0,44.24,5.4,35.67,55.39,30.32,70
Düzce,Black Sea,2.09,1.95,4.39,6.21,1.27,3.91,1.55,-6.08,-10.0,27.88,38.68,31.31,22.33,31.4,68
Edirne,Marmara,6.19,5.7,6.59,8.06,3.15,8.26,9.18,-9.36,-4.0,82.06,63.32,100.0,38.19,68.55,3
Elazığ,Eastern Anatolia,2.13,4.01,3.66,6.21,0.85,5.22,8.95,-4.95,-7.0,42.37,33.9,81.25,46.41,49.92,27
Erzincan,Eastern Anatolia,2.37,0.0,7.2,8.63,4.04,3.91,2.79,-4.5,-10.0,16.36,71.92,38.42,31.55,46.51,34
Erzurum,Eastern Anatolia,4.72,0.37,5.12,6.21,2.37,6.52,8.13,-3.44,-7.0,35.13,46.28,84.0,55.22,56.55,13
Eskişehir,Central Anatolia,4.88,5.29,5.12,7.58,1.21,5.65,7.05,-5.86,-7.0,70.19,47.15,72.82,41.11,54.94,15
Gaziantep,Southeastern Anatolia,2.88,4.1,1.83,2.18,0.1,2.61,4.11,-4.44,-4.0,48.17,6.44,38.53,66.88,34.79,60
Giresun,Black Sea,2.11,2.58,7.07,7.82,2.86,2.61,5.76,-2.64,-4.0,32.37,63.11,47.99,77.38,59.06,11
Gümüşhane,Black Sea,0.0,2.26,7.32,8.06,3.76,1.3,1.34,-0.01,-4.0,15.6,68.88,15.14,92.71,54.74,16
Hakkari,Eastern Anatolia,0.0,1.49,0.0,1.37,1.22,0.43,0.45,-1.29,-10.0,10.28,0.12,5.05,50.26,15.16,81
Hatay,Mediterranean,2.58,2.84,3.05,4.35,0.52,2.17,3.0,-3.58,-10.0,37.41,22.27,29.64,36.91,29.66,72
Isparta,Mediterranean,3.88,2.43,6.34,7.58,6.56,6.96,8.16,-6.17,-10.0,43.55,74.45,86.7,21.81,60.49,10
Iğdır,Eastern Anatolia,0.96,2.65,4.27,5.16,1.84,0.87,0.82,-6.91,-7.0,24.91,36.19,9.69,34.99,27.85,77
Kahramanmaraş,Mediterranean,3.17,2.2,1.83,3.79,0.48,2.17,3.03,-3.59,-7.0,37.06,14.71,29.82,54.34,31.19,69
Karabük,Black Sea,4.31,5.83,6.95,8.06,2.47,3.04,3.92,-4.23,-10.0,69.98,61.99,39.91,33.12,50.25,26
Karaman,Central Anatolia,4.22,1.68,6.71,6.21,2.54,1.74,2.92,-7.72,-1.0,40.72,53.59,26.72,65.25,48.18,30
Kars,Eastern Anatolia,1.71,2.52,5.49,5.65,2.72,3.48,3.18,-4.65,-7.0,29.19,46.95,38.19,48.16,42.84,45
Kastamonu,Black Sea,2.12,5.02,5.98,7.26,3.7,1.74,4.29,-5.1,-4.0,49.28,59.74,34.58,63.03,52.96,21
Kayseri,Central Anatolia,4.07,4.53,3.9,4.84,0.87,4.35,4.58,-6.31,-4.0,59.35,29.29,51.2,55.98,45.2,36
Kilis,Southeastern Anatolia,2.49,7.73,4.27,2.98,1.6,4.35,3.03,-6.18,-4.0,70.53,26.13,42.32,56.73,43.38,42
Kocaeli,Marmara,5.48,3.34,3.78,5.16,0.1,3.48,2.84,-3.17,-10.0,60.87,26.92,36.24,39.3,36.59,53
Konya,Central Anatolia,4.35,3.1,4.76,5.97,1.09,4.35,5.16,-4.87,-4.0,51.41,38.47,54.53,64.37,50.58,25
Kütahya,Aegean,4.15,2.74,6.22,7.02,1.84,1.74,5.32,-3.59,-7.0,47.55,52.01,40.48,54.34,49.15,29
Kırklareli,Marmara,3.79,3.88,5.85,6.21,2.23,2.61,3.32,-6.28,-1.0,52.93,48.73,34.0,73.64,51.8,23
Kırıkkale,Central Anatolia,3.4,1.37,6.71,7.26,2.66,6.52,6.95,-4.58,-10.0,32.92,58.45,77.24,31.08,53.11,20
Kırşehir,Central Anatolia,3.21,1.38,6.83,8.87,3.6,2.61,1.68,-3.57,-10.0,31.68,69.55,24.6,36.97,45.43,35
Malatya,Eastern Anatolia,3.86,5.28,3.78,7.02,1.19,5.65,5.53,-2.74,-7.0,63.08,39.18,64.11,59.3,53.43,19
Manisa,Aegean,3.05,2.2,4.39,6.21,0.95,3.48,4.42,-7.56,-10.0,36.23,37.35,45.3,13.7,33.28,63
Mardin,Southeastern Anatolia,1.81,1.24,2.8,3.23,0.39,0.87,0.71,-0.75,-4.0,21.05,16.04,9.06,88.4,33.01,64
Mersin,Mediterranean,2.86,4.19,3.29,6.21,0.58,2.61,2.24,-8.19,-4.0,48.65,31.24,27.81,45.01,36.0,57
Muğla,Aegean,5.54,8.37,6.22,7.82,1.19,4.35,2.26,-7.41,-10.0,96.0,52.64,37.9,14.58,44.86,37
Muş,Eastern Anatolia,1.27,1.45,3.9,3.23,1.46,0.87,1.21,-0.66,-10.0,18.77,25.05,11.93,53.94,28.21,76
Nevşehir,Central Anatolia,5.12,7.46,6.22,7.26,10.0,1.74,2.47,-7.19,-4.0,86.82,86.91,24.14,50.85,62.19,8
Niğde,Central Anatolia,1.63,1.17,5.37,6.45,2.05,1.3,2.66,-6.44,-1.0,19.32,46.99,22.71,72.71,43.89,39
Ordu,Black Sea,2.01,4.28,5.0,7.26,1.95,2.61,3.79,-4.14,-4.0,43.41,48.4,36.7,68.63,49.91,28
Osmaniye,Mediterranean,2.19,2.54,3.17,5.16,0.81,1.74,3.08,-5.42,-10.0,32.64,27.34,27.64,26.18,27.79,78
Rize,Black Sea,3.62,7.63,6.59,7.58,3.23,4.35,5.32,-1.76,-1.0,77.64,61.65,55.45,100.0,71.69,2
Sakarya,Marmara,5.46,2.77,2.68,4.84,0.42,2.61,1.87,-4.63,-10.0,56.8,22.35,25.69,30.79,29.6,73
Samsun,Black Sea,3.25,2.34,4.15,7.26,0.78,5.22,5.55,-4.76,-7.0,38.58,40.01,61.75,47.52,47.14,31
Siirt,Southeastern Anatolia,1.21,2.24,3.54,3.55,1.26,1.74,3.26,-0.08,-10.0,23.81,24.05,28.67,57.32,33.49,62
Sinop,Black Sea,0.0,8.79,6.34,7.58,4.93,1.74,3.05,-4.72,-4.0,60.66,67.68,27.47,65.25,56.14,14
Sivas,Central Anatolia,1.9,2.58,5.73,6.45,3.79,5.22,7.74,-2.79,-4.0,30.92,55.71,74.31,76.5,62.46,6
Tekirdağ,Marmara,3.83,2.69,4.39,4.35,0.46,2.61,3.53,-5.47,-7.0,45.0,27.59,35.21,43.38,35.62,59
Tokat,Black Sea,4.18,2.12,5.24,7.02,1.74,3.04,4.47,-3.48,-10.0,43.48,47.53,43.06,37.49,43.4,41
Trabzon,Black Sea,5.37,6.88,5.49,7.58,1.54,6.09,7.37,-1.8,-1.0,84.54,50.06,77.18,99.77,73.58,1
Tunceli,Eastern Anatolia,0.0,10.0,10.0,10.0,6.63,2.61,1.37,-3.05,-10.0,69.01,100.0,22.82,40.0,61.83,9
Uşak,Aegean,7.02,1.72,5.49,6.77,1.94,2.17,5.5,-7.8,-10.0,60.32,48.36,43.98,12.3,39.74,49
Van,Eastern Anatolia,2.19,0.38,2.44,2.42,0.16,2.61,3.55,-3.03,-7.0,17.74,10.22,35.32,57.61,29.28,74
Yalova,Marmara,10.0,3.67,5.24,6.77,0.75,2.61,2.0,-5.3,-10.0,94.34,42.38,26.43,26.88,41.01,48
Yozgat,Central Anatolia,2.37,4.39,7.32,7.02,2.61,2.61,2.68,-3.13,-4.0,46.65,59.78,30.33,74.52,54.46,17
Zonguldak,Black Sea,4.48,7.37,5.61,6.45,0.84,4.35,6.13,-4.25,-7.0,81.78,42.96,60.09,50.5,53.98,18
Çanakkale,Marmara,4.19,5.45,6.83,7.82,1.62,4.78,3.71,-6.38,-10.0,66.53,56.96,48.68,20.58,46.99,32
Çankırı,Central Anatolia,3.26,1.93,7.56,5.97,7.19,1.74,2.66,-1.86,-10.0,35.82,75.45,25.23,46.94,50.81,24
Çorum,Black Sea,2.61,1.62,6.59,7.02,3.26,2.17,4.21,-4.76,-7.0,29.19,59.45,36.58,47.52,46.97,33
İstanbul,Marmara,9.11,5.21,2.2,2.42,0.0,6.09,3.0,-2.97,-7.0,98.83,8.56,52.12,57.96,43.08,43
İzmir,Aegean,5.81,5.78,3.78,6.21,0.05,6.52,3.68,-9.81,-10.0,79.99,31.08,58.49,0.58,36.42,56
Şanlıurfa,Southeastern Anatolia,1.75,1.1,2.2,1.13,0.07,1.3,1.74,-1.02,-4.0,19.67,3.49,17.43,86.82,29.83,71
Şırnak,Eastern Anatolia,0.0,0.0,2.2,0.0,0.36,0.0,0.0,-0.0,-7.0,0.0,0.0,0.0,75.28,18.82,80
