Province,Region,CinemaSeats,TheatreSeats,StudentsPerClassroom,StudentsPerTeacher,BooksPerPeople,DoctorsPerPatients,HospitalBedsPerPatient,CrimeRate,EarthquakeRisk,Culture,Education,Healthcare,Security,Rating,Rank
Adana,Mediterranean,5.57,2.33,2.44,4.6,0.32,4.35,4.26,-8.11,-7.0,54.52,19.94,49.37,27.99,33.63,61
Adıyaman,Southeastern Anatolia,0.9,1.66,2.68,5.65,0.99,1.74,2.05,-0.84,-7.0,17.67,28.08,21.73,70.38,35.77,58
Afyonkarahisar,Aegean,3.26,1.17,6.46,6.77,1.86,3.04,3.63,-5.55,-7.0,30.57,52.06,38.25,42.92,43.64,40
Aksaray,Central Anatolia,1.53,2.92,5.0,5.65,1.55,1.3,1.37,-4.05,-1.0,30.71,40.05,15.31,86.65,44.35,38
Amasya,Black Sea,3.16,3.08,5.98,8.06,2.88,1.74,2.66,-7.08,-10.0,43.06,59.66,25.23,16.5,38.19,52
Ankara,Central Anatolia,7.26,3.09,4.27,6.21,1.14,10.0,5.84,-2.81,-4.0,71.43,37.64,90.83,76.38,64.85,4
Antalya,Mediterranean,5.19,2.53,4.76,6.21,0.31,5.22,3.13,-10.0,-7.0,53.28,36.23,47.88,16.97,36.46,54
Ardahan,Eastern Anatolia,0.0,0.0,8.29,6.77,3.08,2.61,1.26,-4.18,-7.0,0.0,64.73,22.19,50.9,42.55,46
Artvin,Black Sea,5.05,5.53,7.32,7.82,4.71,2.61,2.0,-2.16,-4.0,73.02,71.83,26.43,80.17,62.71,5
Aydın,Aegean,4.52,4.53,5.85,7.58,1.24,4.35,3.66,-9.42,-10.0,62.46,50.31,45.93,2.86,38.87,50
Ağrı,Eastern Anatolia,1.33,2.21,3.05,2.18,0.78,0.43,0.66,-2.11,-7.0,24.43,14.33,6.25,62.97,25.73,79
Balıkesir,Marmara,3.02,2.79,4.63,7.58,1.67,2.17,3.05,-8.09,-10.0,40.1,47.03,29.93,10.61,32.78,67
Bartın,Black Sea,2.5,4.91,6.71,7.58,2.58,1.74,2.5,-4.7,-10.0,51.14,59.45,24.31,30.38,42.36,47
Batman,Southeastern Anatolia,2.15,2.71,2.44,3.23,0.38,1.74,2.66,-1.29,-7.0,33.54,14.5,25.23,67.76,32.88,66
Bayburt,Black Sea,0.0,3.35,6.83,7.26,4.98,1.74,2.42,-0.72,-4.0,23.12,68.59,23.85,88.57,56.72,12
Bilecik,Marmara,2.92,0.0,5.98,5.97,3.67,1.74,0.45,-5.17,-10.0,20.15,54.26,12.56,27.64,32.92,65
Bingöl,Eastern Anatolia,1.62,8.45,5.0,5.65,1.91,1.3,2.79,-1.08,-10.0,69.5,41.55,23.45,51.49,43.0,44
Bitlis,Eastern Anatolia,0.82,2.85,3.9,4.35,1.87,1.3,3.5,-2.9,-7.0,25.33,31.41,27.52,58.37,36.42,55
Bolu,Black Sea,5.89,8.6,5.85,7.26,3.1,6.09,10.0,-6.09,-10.0,100.0,56.71,92.26,22.27,62.4,7
Burdur,Mediterranean,3.25,8.97,5.49,8.39,4.29,2.61,3.87,-4.39,-10.0,84.33,64.85,37.16,32.19,52.2,22
Bursa,Marmara,3.23,1.69,3.29,4.6,0.11,3.48,2.95,-5.34,-10.0,33.95,22.6,36.87,26.65,28.6,75
