Province,Region,CinemaSeats,TheatreSeats,StudentsPerClassroom,StudentsPerTeacher,BooksPerPeople,DoctorsPerPatients,HospitalBedsPerPatient,EarthquakeRisk,FloodRisk,Landslide/RockFallRisk,GDPPerCapita,Unemployment,Culture,Education,Healthcare,NaturalDisasters,Economy,Index,Rank
Adana,Mediterranean,6.01,2.5,3.79,3.52,1.43,4.17,5.44,7.0,5.0,3.0,3.55,2.1,51.43,18.22,53.65,-55.45,59.73,32.69,55
Adıyaman,Southeastern Anatolia,2.51,1.0,3.04,5.84,2.3,2.08,2.89,7.0,3.0,4.0,1.7,3.72,12.7,28.8,23.82,-50.5,37.48,13.82,77
Afyonkarahisar,Aegean,4.9,4.42,6.57,7.39,2.97,2.5,4.98,7.0,3.0,2.0,3.03,2.74,57.7,53.73,39.96,-40.6,52.3,41.59,33
Aksaray,Central Anatolia,3.85,1.0,5.61,6.13,2.74,0.83,3.82,1.0,5.0,2.0,3.7,5.73,23.08,43.11,21.76,-20.8,37.42,26.92,62
Amasya,Black Sea,3.33,2.8,7.86,9.03,4.71,1.25,3.58,10.0,2.0,2.0,2.84,2.38,32.99,73.98,22.92,-50.5,53.39,33.99,51
Ankara,Central Anatolia,8.7,1.78,6.36,6.81,1.3,10.0,5.49,4.0,3.0,3.0,7.4,2.59,66.69,43.06,91.45,-30.7,81.28,63.81,2
Antalya,Mediterranean,6.28,3.19,5.07,5.84,1.3,4.58,4.51,7.0,4.0,4.0,4.83,1.87,58.87,33.26,50.31,-55.45,69.42,39.91,36
Ardahan,Eastern Anatolia,1.0,1.0,7.54,9.32,3.84,2.08,3.07,7.0,1.0,2.0,2.79,2.01,1.0,70.08,24.98,-30.7,55.44,30.99,58
Artvin,Black Sea,3.22,1.0,8.71,8.74,6.15,2.08,2.8,4.0,2.0,1.0,5.51,4.38,18.2,82.65,23.24,-15.85,57.68,42.3,31
Aydın,Aegean,3.96,2.9,7.0,8.35,2.46,2.92,4.91,10.0,2.0,6.0,3.21,3.5,38.65,57.55,42.21,-70.3,48.58,29.96,60
Ağrı,Eastern Anatolia,1.77,1.46,3.68,4.48,2.09,0.0,1.78,7.0,2.0,2.0,1.0,1.8,10.53,24.76,3.31,-35.65,45.31,12.81,78
Balıkesir,Marmara,6.27,6.25,6.36,8.35,2.51,2.08,4.07,10.0,2.0,2.0,4.23,1.86,82.49,54.99,31.41,-50.5,65.63,46.83,18
Bartın,Black Sea,3.83,1.0,5.71,8.06,4.12,0.83,2.8,10.0,1.0,4.0,2.88,3.86,22.92,57.89,15.21,-55.45,44.15,21.94,66
Batman,Southeastern Anatolia,3.96,1.61,3.57,2.94,1.69,0.83,4.53,7.0,1.0,1.0,1.69,3.54,28.65,15.87,26.33,-25.75,38.57,21.68,67
Bayburt,Black Sea,1.0,1.0,5.61,7.39,8.44,2.5,6.4,4.0,2.0,2.0,2.38,2.64,1.0,73.29,49.09,-20.8,48.77,38.64,38
Bilecik,Marmara,2.25,1.0,6.14,5.84,5.11,0.83,3.89,10.0,1.0,1.0,6.57,2.04,10.68,54.42,22.21,-40.6,79.48,32.34,56
Bingöl,Eastern Anatolia,3.92,1.0,4.96,6.81,3.81,0.83,4.0,10.0,5.0,5.0,2.14,4.0,23.62,47.88,22.92,-80.2,38.51,13.93,75
Bitlis,Eastern Anatolia,1.94,3.04,3.79,5.16,3.22,1.25,4.76,7.0,6.0,3.0,1.57,4.1,24.08,33.09,30.51,-60.4,34.21,16.12,73
Bolu,Black Sea,7.76,1.0,6.14,7.39,4.4,6.67,8.22,10.0,2.0,2.0,5.65,2.13,53.37,58.07,87.59,-50.5,73.01,56.24,4
