Province,Region,CinemaSeats,TheatreSeats,StudentsPerClassroom,StudentsPerTeacher,BooksPerPeople,DoctorsPerPatients,HospitalBedsPerPatient,EarthquakeRisk,FloodRisk,Landslide/RockFallRisk,GDPPerCapita,Unemployment,Culture,Education,Healthcare,NaturalDisasters,Economy,Index,Rank
Adana,Mediterranean,5.37,3.93,2.92,3.9,1.35,5.29,5.64,7.0,5.0,3.0,3.46,2.18,40.3,21.37,53.56,-55.45,56.72,33.14,54
Adıyaman,Southeastern Anatolia,2.73,2.71,3.36,6.13,2.03,3.14,3.1,7.0,3.0,4.0,1.89,4.03,16.78,35.58,25.96,-50.5,35.55,19.82,73
Afyonkarahisar,Aegean,4.16,1.58,6.9,6.52,2.74,3.57,5.26,7.0,3.0,2.0,3.42,2.78,18.61,55.27,41.2,-40.6,52.76,35.83,49
Aksaray,Central Anatolia,3.34,2.36,5.28,5.84,2.34,2.29,2.72,1.0,5.0,2.0,3.55,2.68,18.36,43.82,18.72,-20.8,54.18,32.58,55
Amasya,Black Sea,4.01,4.35,7.05,8.06,3.99,2.71,3.99,10.0,2.0,2.0,3.37,2.85,34.57,67.75,28.66,-50.5,52.02,37.15,43
Ankara,Central Anatolia,7.72,4.54,4.84,6.81,1.19,10.0,5.99,4.0,3.0,3.0,7.55,2.53,58.33,41.19,83.34,-30.7,79.88,62.1,4
Antalya,Mediterranean,7.06,3.3,5.28,6.13,1.29,6.14,5.15,7.0,4.0,4.0,6.23,1.76,46.75,40.59,55.68,-55.45,76.47,45.05,23
Ardahan,Eastern Anatolia,1.0,3.11,7.93,7.77,4.2,3.14,2.93,7.0,1.0,2.0,3.31,2.13,8.68,71.14,24.96,-30.7,56.1,36.57,45
Artvin,Black Sea,6.11,5.14,7.49,8.74,5.22,3.57,2.86,4.0,2.0,1.0,4.81,6.29,52.18,77.72,27.07,-15.85,39.63,49.24,15
Aydın,Aegean,5.02,4.96,6.02,7.48,2.27,5.29,4.93,10.0,2.0,6.0,3.62,3.25,44.44,53.62,49.38,-70.3,51.09,36.08,47
Ağrı,Eastern Anatolia,2.29,2.39,3.21,4.19,1.77,1.0,2.01,7.0,2.0,2.0,1.0,1.84,12.15,25.61,6.94,-35.65,43.6,17.14,77
Balıkesir,Marmara,6.5,6.74,5.13,7.77,2.47,3.57,4.58,10.0,2.0,2.0,4.43,1.76,64.3,51.92,37.2,-50.5,65.33,46.11,21
Bartın,Black Sea,3.25,4.77,5.72,6.81,3.68,2.29,3.29,10.0,1.0,4.0,3.25,3.56,32.5,55.49,22.07,-55.45,46.88,29.38,63
Batman,Southeastern Anatolia,2.89,1.0,3.07,3.9,1.52,2.29,3.29,7.0,1.0,1.0,1.91,3.87,7.34,22.73,22.07,-25.75,36.66,19.74,74
Bayburt,Black Sea,2.15,3.9,4.98,7.48,7.02,3.14,3.9,4.0,2.0,2.0,3.01,3.43,20.5,69.36,30.66,-20.8,46.2,40.51,36
Bilecik,Marmara,2.27,4.18,5.72,4.87,4.57,2.29,1.71,10.0,1.0,1.0,6.15,1.86,22.93,51.03,12.77,-40.6,75.36,34.39,50
Bingöl,Eastern Anatolia,3.49,5.61,4.84,6.81,3.11,1.86,3.95,10.0,5.0,5.0,2.27,6.64,39.08,49.33,23.43,-80.2,21.74,17.32,76
Bitlis,Eastern Anatolia,1.75,1.75,3.95,6.13,2.9,1.86,4.63,7.0,6.0,3.0,1.57,5.63,4.96,41.78,27.43,-60.4,23.66,13.32,78
Bolu,Black Sea,8.47,7.15,5.43,7.1,3.96,7.43,9.1,10.0,2.0,2.0,5.81,2.16,78.8,56.67,86.52,-50.5,71.4,64.81,2
Burdur,Mediterranean,2.77,4.74,5.72,8.45,5.31,3.57,4.79,10.0,2.0,1.0,4.27,2.36,29.39,69.36,38.43,-45.55,60.62,42.1,30
Bursa,Marmara,5.28,2.14,3.95,4.19,1.09,4.43,3.97,10.0,2.0,3.0,6.59,1.67,28.84,25.87,38.67,-55.45,79.26,33.31,53
