Province,Region,CinemaSeats,TheatreSeats,StudentsPerClassroom,StudentsPerTeacher,BooksPerPeople,DoctorsPerPatients,HospitalBedsPerPatient,EarthquakeRisk,FloodRisk,Landslide/RockFallRisk,GDPPerCapita,Unemployment,Culture,Education,Healthcare,NaturalDisasters,Economy,Index,Rank
Denizli,Aegean,5.19,7.08,6.02,7.77,2.56,5.29,5.57,10.0,2.0,2.0,4.8,1.81,58.39,56.08,53.15,-50.5,67.31,50.16,12
Diyarbakır,Southeastern Anatolia,5.63,2.86,2.33,3.23,1.06,3.57,4.46,7.0,3.0,2.0,1.85,2.72,35.36,14.79,36.49,-40.6,43.41,26.36,65
Düzce,Black Sea,4.98,2.63,4.84,5.84,2.29,4.43,2.98,10.0,1.0,2.0,4.27,2.49,30.0,41.74,32.84,-45.55,59.82,33.73,52
Edirne,Marmara,9.1,10.0,7.49,8.45,4.13,9.57,9.25,4.0,1.0,1.0,4.27,2.3,100.0,71.87,100.0,-10.9,60.99,84.63,1
Elazığ,Eastern Anatolia,2.65,4.09,3.95,6.52,2.18,4.0,10.0,7.0,2.0,3.0,3.02,3.67,24.7,40.38,71.63,-40.6,44.77,39.25,39
Erzincan,Eastern Anatolia,3.11,1.65,7.05,9.03,4.31,4.86,3.57,10.0,4.0,5.0,4.57,2.95,12.64,73.22,38.85,-75.25,58.83,31.08,59
Erzurum,Eastern Anatolia,6.71,1.49,5.72,6.52,3.11,6.14,9.29,7.0,10.0,7.0,2.75,1.98,33.59,51.84,80.05,-100.0,53.56,33.77,51
Eskişehir,Central Anatolia,6.36,6.87,4.54,7.77,2.18,6.57,7.76,7.0,1.0,1.0,5.93,1.87,64.24,48.19,73.57,-25.75,73.93,62.63,3
Gaziantep,Southeastern Anatolia,3.88,3.14,1.0,1.29,1.08,3.14,5.17,4.0,2.0,1.0,3.7,2.06,26.4,1.0,38.14,-15.85,58.95,31.17,58
Giresun,Black Sea,2.84,1.56,6.75,7.48,4.15,3.57,6.35,4.0,5.0,6.0,2.52,2.84,10.44,64.69,47.62,-55.45,46.82,32.54,56
Gümüşhane,Black Sea,2.03,4.13,7.2,8.74,5.26,1.86,2.91,4.0,2.0,3.0,2.62,3.01,21.17,76.66,17.3,-25.75,46.38,37.96,42
Hakkari,Eastern Anatolia,1.33,1.52,1.15,4.19,1.84,1.43,1.4,10.0,2.0,2.0,2.47,8.62,1.0,17.17,5.89,-50.5,10.72,0.0,81
Hatay,Mediterranean,3.43,2.95,2.48,4.19,1.51,3.14,4.3,10.0,3.0,2.0,3.34,2.19,22.51,21.41,33.02,-55.45,55.92,23.34,67
Isparta,Mediterranean,4.93,4.43,6.46,7.77,7.4,7.86,8.96,10.0,3.0,1.0,4.08,4.07,40.66,78.49,88.23,-50.5,48.86,55.5,8
Iğdır,Eastern Anatolia,1.87,3.68,4.1,5.84,2.87,1.43,1.92,7.0,1.0,2.0,2.61,2.29,17.45,41.06,8.95,-30.7,50.78,25.88,66
Kahramanmaraş,Mediterranean,3.2,2.88,1.89,1.97,1.45,3.14,4.23,7.0,5.0,3.0,3.04,2.16,20.68,9.23,32.61,-55.45,54.25,19.31,75
Karabük,Black Sea,6.39,5.58,6.61,7.77,3.49,4.43,4.98,10.0,1.0,4.0,4.6,2.61,56.56,62.53,44.61,-55.45,61.12,46.39,20
Karaman,Central Anatolia,5.02,2.03,6.9,5.55,3.48,2.71,3.76,1.0,1.0,2.0,4.69,2.86,26.59,54.3,27.31,-1.0,60.13,45.88,22
Kars,Eastern Anatolia,2.59,2.85,5.87,6.13,3.47,3.14,4.18,7.0,3.0,2.0,2.2,3.29,16.78,52.35,32.31,-40.6,42.05,29.73,62
Kastamonu,Black Sea,4.08,6.89,5.13,7.48,4.22,2.71,4.93,4.0,3.0,6.0,3.71,2.51,50.47,58.12,34.2,-45.55,56.23,42.4,29
Kayseri,Central Anatolia,5.08,5.09,3.51,4.19,1.8,5.71,5.92,4.0,5.0,4.0,4.4,2.06,45.6,27.01,57.68,-45.55,63.29,41.04,35
Kilis,Southeastern Anatolia,3.13,2.82,1.44,2.26,2.46,5.29,3.47,4.0,1.0,1.0,2.54,5.76,19.89,12.84,40.79,-10.9,28.86,26.87,64
Kocaeli,Marmara,6.84,4.42,3.66,4.58,1.1,4.0,3.52,10.0,2.0,1.0,10.0,2.25,52.24,26.33,33.49,-45.55,96.78,44.86,24
Konya,Central Anatolia,4.44,3.31,4.39,5.55,1.99,5.29,6.21,4.0,1.0,1.0,4.06,1.84,30.85,37.32,56.92,-10.9,62.54,48.23,16
Kütahya,Aegean,3.91,2.95,6.46,7.48,3.07,2.71,5.85,7.0,2.0,1.0,4.11,2.81,25.43,58.88,39.61,-30.7,56.85,41.55,33
Kırklareli,Marmara,6.68,3.82,6.61,6.13,2.93,3.14,4.09,1.0,1.0,2.0,5.92,1.7,47.61,53.19,31.78,-1.0,74.92,55.69,7
Kırıkkale,Central Anatolia,4.07,1.74,6.9,7.77,3.92,6.57,8.49,10.0,3.0,2.0,4.5,1.84,19.03,65.59,77.87,-55.45,65.27,47.13,18
Kırşehir,Central Anatolia,3.78,5.66,7.05,9.03,4.65,3.57,2.77,10.0,1.0,2.0,3.31,2.45,41.15,74.67,26.54,-45.55,54.12,41.77,32
Malatya,Eastern Anatolia,5.51,5.04,4.69,7.48,2.16,6.14,6.94,7.0,2.0,5.0,2.7,2.31,47.91,47.51,66.22,-50.5,51.21,44.63,26
Manisa,Aegean,4.53,3.32,4.39,6.13,1.99,4.43,5.71,10.0,2.0,2.0,5.25,1.84,31.46,39.79,48.91,-50.5,69.91,38.92,40
Mardin,Southeastern Anatolia,3.2,1.61,2.48,3.9,1.36,1.86,2.27,4.0,2.0,1.0,2.54,2.97,12.94,19.54,13.54,-15.85,46.14,23.07,68
Mersin,Mediterranean,4.31,4.88,3.95,6.13,1.51,4.0,4.35,4.0,3.0,3.0,4.21,2.14,39.63,35.88,38.38,-30.7,61.61,40.23,37
Muğla,Aegean,5.82,7.27,6.16,8.74,2.08,4.43,3.14,10.0,2.0,1.0,5.82,1.87,63.39,58.75,33.78,-45.55,73.25,49.96,13
Muş,Eastern Anatolia,2.17,8.63,3.36,5.16,2.39,1.0,2.44,10.0,2.0,2.0,1.84,6.08,49.43,33.0,9.48,-50.5,22.55,19.97,72
Nevşehir,Central Anatolia,7.73,5.93,7.05,7.48,10.0,2.29,3.69,4.0,2.0,2.0,3.28,2.61,66.86,90.79,24.43,-20.8,52.95,57.63,5
Niğde,Central Anatolia,2.43,1.56,5.72,6.52,3.0,2.29,3.9,1.0,2.0,2.0,3.22,2.76,7.95,51.37,25.66,-5.95,51.65,36.69,44
Ordu,Black Sea,3.24,5.6,5.43,6.81,3.05,3.14,4.72,4.0,2.0,3.0,2.51,1.96,37.49,51.58,35.49,-25.75,52.2,41.79,31
Osmaniye,Mediterranean,2.39,2.92,2.48,4.19,1.82,2.29,3.87,10.0,2.0,1.0,2.97,3.13,15.99,22.73,25.49,-45.55,47.81,20.6,70
Rize,Black Sea,5.84,6.11,6.75,7.77,4.05,5.71,5.66,1.0,3.0,9.0,3.98,3.87,56.44,65.5,56.15,-45.55,49.48,49.56,14
Sakarya,Marmara,6.89,4.27,4.39,5.16,1.41,3.57,2.67,10.0,2.0,2.0,5.15,1.9,51.63,33.21,25.96,-50.5,68.92,36.33,46
Samsun,Black Sea,3.93,2.46,4.84,7.1,1.75,5.71,6.32,7.0,2.0,3.0,3.21,2.11,22.57,44.79,60.04,-40.6,55.61,39.63,38
Siirt,Southeastern Anatolia,2.1,1.1,4.54,4.58,2.04,1.86,4.27,10.0,1.0,2.0,1.93,2.14,3.13,34.06,25.31,-45.55,47.5,20.09,71
Sinop,Black Sea,2.31,5.27,6.9,7.48,5.56,2.71,3.9,4.0,2.0,4.0,2.85,8.57,29.82,71.31,28.13,-30.7,13.38,31.99,57
Sivas,Central Anatolia,4.48,2.8,5.28,7.1,4.51,5.29,7.69,4.0,8.0,5.0,3.33,3.02,27.99,58.37,65.63,-65.35,50.72,38.37,41
Tekirdağ,Marmara,5.14,4.96,3.95,2.94,1.5,3.14,4.27,7.0,1.0,1.0,7.85,1.91,45.17,22.3,32.84,-25.75,85.57,44.07,27
Tokat,Black Sea,4.85,2.37,4.84,7.1,2.6,3.57,6.63,10.0,4.0,3.0,2.22,2.62,27.62,48.4,49.26,-65.35,46.32,30.57,61
Trabzon,Black Sea,5.87,6.61,5.57,7.77,2.43,6.57,7.64,1.0,4.0,10.0,3.59,2.16,59.67,53.62,72.87,-55.45,57.65,51.15,11
Tunceli,Eastern Anatolia,2.34,6.66,10.0,10.0,6.7,4.43,2.18,10.0,2.0,4.0,4.41,3.15,38.47,100.0,28.13,-60.4,56.6,44.74,25
Uşak,Aegean,7.37,4.97,4.98,7.77,3.07,3.14,6.09,10.0,1.0,1.0,4.2,2.48,58.82,53.83,43.55,-40.6,59.45,47.81,17
Van,Eastern Anatolia,2.98,1.05,2.03,4.19,1.13,2.71,4.23,7.0,7.0,3.0,1.28,2.43,8.19,17.89,30.08,-65.35,41.68,12.08,79
Yalova,Marmara,7.2,3.64,5.28,6.13,1.91,3.57,3.29,10.0,1.0,2.0,6.03,2.19,49.68,43.22,29.61,-45.55,72.57,41.42,34
Yozgat,Central Anatolia,4.63,3.92,7.34,7.48,3.51,3.57,5.31,4.0,5.0,2.0,2.69,2.86,35.73,64.48,41.49,-35.65,47.74,42.48,28
Zonguldak,Black Sea,7.0,5.87,4.98,5.84,1.92,4.43,6.8,7.0,1.0,4.0,4.02,3.09,62.04,40.76,55.33,-40.6,54.56,47.07,19
Çanakkale,Marmara,3.12,8.43,6.46,7.77,2.72,5.29,5.41,10.0,1.0,1.0,5.53,2.53,54.0,58.63,52.21,-40.6,67.37,51.96,10
Çankırı,Central Anatolia,3.5,2.03,7.49,5.84,7.15,1.86,3.24,10.0,2.0,3.0,3.49,2.76,17.33,73.61,19.25,-55.45,53.32,31.02,60
Çorum,Black Sea,5.72,1.99,6.46,6.81,4.29,3.14,5.48,7.0,4.0,4.0,2.86,2.45,30.61,61.21,39.96,-55.45,51.34,35.94,48
İstanbul,Marmara,10.0,6.0,2.33,1.68,1.0,6.57,4.32,7.0,2.0,1.0,9.8,1.53,81.11,7.96,53.33,-30.7,100.0,57.0,6
İzmir,Aegean,6.72,7.23,3.95,6.81,1.08,8.29,4.7,10.0,2.0,2.0,6.71,1.73,68.62,36.94,65.69,-50.5,79.63,54.16,9
Şanlıurfa,Southeastern Anatolia,2.81,2.46,2.62,1.0,1.02,1.86,2.84,4.0,3.0,1.0,1.23,1.0,15.74,6.39,16.89,-20.8,50.22,21.09,69
Şırnak,Eastern Anatolia,1.0,2.1,2.18,3.23,1.25,1.0,1.0,7.0,2.0,1.0,2.28,10.0,2.52,14.96,1.0,-30.7,1.0,1.13,80
