Province,Region,CinemaSeats,TheatreSeats,StudentsPerClassroom,StudentsPerTeacher,BooksPerPeople,DoctorsPerPatients,HospitalBedsPerPatient,EarthquakeRisk,FloodRisk,Landslide/RockFallRisk,GDPPerCapita,Unemployment,Culture,Education,Healthcare,NaturalDisasters,Economy,Index,Rank
Edirne,Marmara,10.0,7.75,8.2,8.42,4.64,8.83,8.59,4.0,1.0,1.0,4.49,1.94,100.0,74.05,100.0,-10.9,63.68,84.19,1
Elazığ,Eastern Anatolia,2.64,5.27,3.85,6.57,2.55,4.13,10.0,7.0,2.0,3.0,3.48,2.74,38.15,40.54,78.33,-40.6,52.4,44.58,26
Erzincan,Eastern Anatolia,2.58,2.19,6.7,8.42,4.96,4.91,4.67,10.0,4.0,5.0,5.72,2.55,18.41,69.28,48.36,-75.25,67.54,34.44,53
Erzurum,Eastern Anatolia,6.11,4.93,6.1,6.85,3.49,5.7,8.66,7.0,10.0,7.0,2.81,2.1,57.82,54.56,79.84,-100.0,52.21,38.47,43
Eskişehir,Central Anatolia,6.12,7.13,5.35,7.77,2.36,6.09,7.4,7.0,1.0,1.0,6.19,1.77,71.71,50.68,74.11,-25.75,75.33,63.95,2
Gaziantep,Southeastern Anatolia,3.76,2.2,1.15,1.0,1.04,2.57,4.74,4.0,2.0,1.0,4.15,1.9,25.89,1.0,33.41,-15.85,61.81,28.9,63
Giresun,Black Sea,3.04,1.5,6.55,8.14,4.68,3.74,7.61,4.0,5.0,6.0,2.95,2.49,16.97,66.41,60.02,-55.45,50.66,37.01,46
Gümüşhane,Black Sea,2.18,10.0,7.45,8.7,6.9,2.96,5.17,4.0,2.0,3.0,3.03,2.42,64.99,81.28,38.81,-25.75,51.59,55.14,9
Hakkari,Eastern Anatolia,1.0,1.0,1.9,4.43,2.21,1.78,1.16,10.0,2.0,2.0,2.76,5.79,1.0,22.63,4.62,-50.5,28.91,3.94,80
Hatay,Mediterranean,3.26,3.8,1.75,4.06,1.59,2.96,3.83,10.0,3.0,2.0,3.02,2.04,32.81,18.02,29.98,-55.45,53.9,22.14,69
Isparta,Mediterranean,4.55,3.53,7.0,7.77,8.04,7.65,8.56,10.0,3.0,1.0,4.13,3.21,39.22,80.31,92.03,-50.5,53.52,56.05,7
Iğdır,Eastern Anatolia,1.85,2.92,4.45,6.29,2.93,1.78,1.3,7.0,1.0,2.0,2.97,2.25,18.41,43.37,5.54,-30.7,52.28,24.55,65
Kahramanmaraş,Mediterranean,3.44,1.43,1.0,4.06,1.52,2.57,3.6,7.0,5.0,3.0,3.2,2.03,19.04,14.7,25.9,-55.45,55.08,17.13,76
Karabük,Black Sea,6.47,4.56,7.3,8.7,4.11,4.13,4.78,10.0,1.0,4.0,3.84,2.33,57.76,69.4,43.95,-55.45,57.2,45.6,24
Karaman,Central Anatolia,2.72,6.03,6.85,6.85,3.9,2.17,3.37,1.0,1.0,2.0,4.99,2.31,43.43,59.25,21.75,-1.0,64.49,49.37,17
Kars,Eastern Anatolia,1.0,3.46,5.5,6.57,3.78,3.35,4.24,7.0,3.0,2.0,2.45,2.86,16.46,52.18,35.25,-40.6,45.24,29.47,62
Kastamonu,Black Sea,5.23,5.01,5.8,8.14,4.5,2.57,5.31,4.0,3.0,6.0,4.25,2.46,52.79,62.65,37.16,-45.55,58.94,43.87,27
Kayseri,Central Anatolia,4.97,4.75,2.8,4.43,1.9,4.91,5.42,4.0,5.0,4.0,4.83,1.71,49.53,25.01,53.3,-45.55,67.23,39.75,39
Kilis,Southeastern Anatolia,2.98,7.84,2.35,2.21,2.76,5.3,3.6,4.0,1.0,1.0,2.74,4.89,56.44,17.7,43.88,-10.9,34.39,37.74,44
Kocaeli,Marmara,5.7,4.55,3.55,4.71,1.05,3.74,3.26,10.0,2.0,1.0,9.83,2.17,52.86,25.74,31.37,-45.55,95.51,42.36,32
Konya,Central Anatolia,4.51,4.19,4.6,5.64,1.98,4.52,6.42,4.0,1.0,1.0,4.37,1.67,43.11,37.5,57.32,-10.9,64.61,50.3,13
Kütahya,Aegean,3.03,2.88,6.25,7.49,3.56,2.96,5.24,7.0,2.0,1.0,4.21,1.65,25.58,58.04,39.27,-30.7,63.74,41.35,38
Kırklareli,Marmara,6.57,3.08,6.25,6.57,3.27,2.96,4.12,1.0,1.0,2.0,6.46,1.63,49.09,53.15,31.89,-1.0,77.88,55.16,8
Kırıkkale,Central Anatolia,4.15,2.32,7.75,8.14,4.39,6.09,8.02,10.0,3.0,2.0,3.68,1.68,29.1,70.09,78.2,-55.45,60.25,47.93,19
Kırşehir,Central Anatolia,3.76,6.38,7.75,8.7,4.74,3.35,2.12,10.0,1.0,2.0,3.56,2.26,52.17,73.76,21.29,-45.55,55.89,41.76,36
Malatya,Eastern Anatolia,5.45,6.14,4.9,6.29,2.29,4.91,6.17,7.0,2.0,5.0,2.83,2.11,61.28,42.6,58.24,-50.5,52.28,43.35,30
Manisa,Aegean,4.11,2.69,3.4,6.29,2.04,3.74,5.28,10.0,2.0,2.0,5.66,1.72,31.17,35.52,44.67,-50.5,72.34,35.66,49
Mardin,Southeastern Anatolia,2.48,1.0,2.8,4.06,1.45,1.39,1.62,4.0,2.0,1.0,2.74,2.27,10.3,21.7,5.08,-15.85,50.72,20.31,70
Mersin,Mediterranean,3.93,4.93,4.0,5.36,1.48,2.96,3.83,4.0,3.0,3.0,4.66,1.82,44.12,31.92,29.98,-30.7,65.48,37.56,45
Muğla,Aegean,5.89,5.84,5.8,7.49,2.08,3.74,2.78,10.0,2.0,1.0,5.36,1.67,62.16,50.24,28.2,-45.55,70.78,43.83,28
Muş,Eastern Anatolia,2.16,7.04,4.3,4.99,2.42,1.0,2.09,10.0,2.0,2.0,1.91,4.16,46.26,35.44,5.61,-50.5,33.77,19.96,71
Nevşehir,Central Anatolia,7.56,6.59,6.7,7.77,10.0,1.78,3.23,4.0,2.0,2.0,3.25,2.32,77.37,87.02,18.26,-20.8,53.58,56.27,6
Niğde,Central Anatolia,2.43,1.0,5.05,6.85,3.3,1.78,3.6,1.0,2.0,2.0,3.41,2.4,9.99,49.55,20.69,-5.95,54.08,34.44,54
Ordu,Black Sea,2.95,4.17,5.35,7.49,3.51,2.96,4.53,4.0,2.0,3.0,2.75,1.89,33.18,54.2,34.59,-25.75,53.15,39.71,40
Osmaniye,Mediterranean,2.53,1.99,2.35,4.99,1.83,1.78,3.37,10.0,2.0,1.0,2.82,2.44,16.84,25.17,19.18,-45.55,50.16,18.76,74
Rize,Black Sea,5.53,6.49,7.6,7.77,4.31,5.3,5.22,1.0,3.0,9.0,4.16,3.68,63.98,67.66,54.55,-45.55,50.78,50.25,14
Sakarya,Marmara,6.23,3.88,4.3,5.92,1.39,3.35,2.71,10.0,2.0,2.0,5.33,1.62,51.98,35.04,25.17,-50.5,70.9,35.5,51
Samsun,Black Sea,3.72,2.65,5.35,7.22,1.86,5.7,6.54,7.0,2.0,3.0,3.44,1.98,28.47,46.44,65.88,-40.6,56.89,41.64,37
Siirt,Southeastern Anatolia,3.88,1.0,3.85,4.71,1.96,1.39,3.16,10.0,1.0,2.0,2.17,1.92,19.1,30.63,15.23,-45.55,49.35,19.51,73
Sinop,Black Sea,8.64,8.42,6.55,7.77,6.13,2.17,4.71,4.0,2.0,4.0,3.0,7.64,95.66,70.77,30.57,-30.7,18.88,48.68,18
Sivas,Central Anatolia,4.55,4.75,5.8,7.77,5.06,4.13,7.11,4.0,8.0,5.0,3.44,2.38,46.89,63.42,59.29,-65.35,54.39,42.03,35
Tekirdağ,Marmara,4.91,4.42,3.7,3.13,1.54,2.57,4.14,7.0,1.0,1.0,8.44,1.76,47.07,21.94,29.46,-25.75,89.41,42.91,31
Tokat,Black Sea,4.97,1.65,4.0,8.14,3.17,3.35,6.54,10.0,4.0,3.0,2.37,2.48,30.04,49.99,50.4,-65.35,47.1,30.39,61
Trabzon,Black Sea,4.26,4.88,5.8,7.77,2.47,6.48,7.36,1.0,4.0,10.0,3.58,2.13,45.88,52.95,76.42,-55.45,56.82,46.54,22
Tunceli,Eastern Anatolia,2.42,7.8,10.0,10.0,7.68,4.91,1.87,10.0,2.0,4.0,5.55,2.52,52.67,100.0,29.92,-60.4,66.67,49.61,16
Uşak,Aegean,6.34,6.17,4.9,7.77,3.46,2.57,5.37,10.0,1.0,1.0,4.68,2.07,67.06,53.31,37.56,-40.6,64.05,47.73,20
Van,Eastern Anatolia,3.68,1.56,2.8,4.06,1.16,2.17,3.76,7.0,7.0,3.0,1.17,2.34,21.37,20.53,24.32,-65.35,40.5,12.64,79
Yalova,Marmara,8.72,3.14,6.25,6.29,1.81,2.96,4.08,10.0,1.0,2.0,6.44,2.11,62.98,46.11,31.63,-45.55,74.77,44.86,25
Yozgat,Central Anatolia,4.53,3.58,7.45,8.14,3.89,3.35,4.62,4.0,5.0,2.0,2.74,2.28,39.41,66.85,37.75,-35.65,50.66,42.13,33
Zonguldak,Black Sea,7.12,4.53,5.5,7.22,2.12,4.13,6.61,7.0,1.0,4.0,3.94,2.85,61.66,48.09,56.0,-40.6,54.58,47.32,21
Çanakkale,Marmara,3.11,9.51,5.35,7.49,3.02,4.91,4.94,10.0,1.0,1.0,6.67,2.45,67.75,52.22,50.14,-40.6,74.08,53.3,11
Çankırı,Central Anatolia,2.94,2.78,6.7,6.57,8.84,2.57,3.28,10.0,2.0,3.0,4.51,2.15,24.38,77.48,23.79,-55.45,62.49,35.53,50
Çorum,Black Sea,4.72,2.56,6.4,6.85,4.66,3.35,5.12,7.0,4.0,4.0,3.07,2.2,34.19,60.51,41.05,-55.45,53.21,35.73,48
İstanbul,Marmara,8.79,5.91,1.75,1.93,1.11,6.48,4.6,7.0,2.0,1.0,10.0,1.62,80.83,7.47,58.24,-30.7,100.0,56.37,5
İzmir,Aegean,6.69,6.42,3.7,6.57,1.08,6.87,4.03,10.0,2.0,2.0,6.76,1.66,70.83,33.99,57.05,-50.5,79.56,50.13,15
Şanlıurfa,Southeastern Anatolia,2.59,2.67,2.05,1.0,1.0,1.39,2.16,4.0,3.0,1.0,1.0,1.0,21.49,4.48,8.64,-20.8,47.79,17.71,75
Şırnak,Eastern Anatolia,1.0,1.0,2.65,3.51,1.39,1.39,1.0,7.0,2.0,1.0,2.49,10.0,1.0,18.63,1.0,-30.7,1.0,0.0,81
