Province,Region,CinemaSeats,TheatreSeats,StudentsPerClassroom,StudentsPerTeacher,BooksPerPeople,DoctorsPerPatients,HospitalBedsPerPatient,EarthquakeRisk,FloodRisk,Landslide/RockFallRisk,GDPPerCapita,Unemployment,Culture,Education,Healthcare,NaturalDisasters,Economy,Index,Rank
Adana,Mediterranean,5.05,3.29,2.95,3.51,1.37,4.91,5.24,7.0,5.0,3.0,3.76,1.89,40.85,19.76,52.11,-55.45,59.44,31.52,60
Adıyaman,Southeastern Anatolia,2.19,1.0,3.1,5.64,2.11,2.96,2.82,7.0,3.0,4.0,1.74,3.38,8.48,31.97,23.33,-50.5,37.57,15.02,77
Afyonkarahisar,Aegean,3.97,2.49,6.25,7.22,2.88,3.35,4.92,7.0,3.0,2.0,3.54,2.38,29.03,54.2,39.73,-40.6,55.02,36.7,47
Aksaray,Central Anatolia,3.27,2.89,5.05,6.29,2.72,2.17,2.3,1.0,5.0,2.0,4.23,2.79,27.15,44.94,14.7,-20.8,56.76,33.04,56
Amasya,Black Sea,3.85,2.43,7.0,8.14,4.45,2.57,3.44,10.0,2.0,2.0,3.48,2.2,27.9,67.3,24.84,-50.5,55.76,33.68,55
Ankara,Central Anatolia,7.45,3.97,5.65,6.29,1.21,10.0,5.74,4.0,3.0,3.0,8.46,2.37,60.21,41.26,88.93,-30.7,85.73,63.78,3
Antalya,Mediterranean,5.77,4.16,4.6,5.92,1.29,5.3,4.46,7.0,4.0,4.0,4.55,1.77,50.85,35.85,49.54,-55.45,65.11,38.84,41
Ardahan,Eastern Anatolia,1.0,1.0,7.6,7.77,3.65,3.35,2.87,7.0,1.0,2.0,3.78,1.9,1.0,64.99,26.23,-30.7,59.5,32.6,57
Artvin,Black Sea,4.65,5.36,7.9,8.42,6.48,4.13,2.64,4.0,2.0,1.0,5.82,3.81,51.35,80.27,29.85,-15.85,60.31,53.88,10
Aydın,Aegean,4.01,4.56,6.1,7.49,2.45,4.52,4.33,10.0,2.0,6.0,3.52,2.8,42.3,52.95,43.55,-70.3,52.28,32.54,58
Ağrı,Eastern Anatolia,2.25,1.48,3.1,4.43,1.96,1.0,1.57,7.0,2.0,2.0,1.05,1.62,11.87,26.47,2.19,-35.65,44.24,14.58,78
Balıkesir,Marmara,4.83,9.44,5.05,7.49,2.6,2.96,3.94,10.0,2.0,2.0,4.69,1.7,78.13,49.31,30.71,-50.5,66.42,45.9,23
Bartın,Black Sea,3.26,4.47,5.5,7.77,4.07,2.17,2.71,10.0,1.0,4.0,3.11,3.25,37.02,58.2,17.4,-55.45,46.92,28.36,64
Batman,Southeastern Anatolia,2.81,1.74,3.55,4.06,1.59,1.78,4.9,7.0,1.0,1.0,1.66,3.52,17.03,25.3,29.26,-25.75,36.2,22.83,66
Bayburt,Black Sea,2.15,4.57,5.05,7.77,8.43,3.35,3.32,4.0,2.0,2.0,3.08,2.36,30.67,74.01,29.19,-20.8,52.28,43.71,29
Bilecik,Marmara,2.03,4.35,5.35,5.64,5.31,2.17,3.85,10.0,1.0,1.0,6.83,1.98,28.53,54.0,24.91,-40.6,78.01,38.58,42
Bingöl,Eastern Anatolia,3.31,5.93,5.05,6.29,3.58,2.17,3.87,10.0,5.0,5.0,2.45,3.55,46.51,48.42,25.04,-80.2,40.94,22.5,67
Bitlis,Eastern Anatolia,1.74,3.97,4.45,5.64,3.15,2.17,4.17,7.0,6.0,3.0,1.79,3.44,24.32,41.63,27.02,-60.4,37.51,19.84,72
Bolu,Black Sea,7.32,4.52,5.65,6.85,4.34,7.26,8.66,10.0,2.0,2.0,6.28,2.03,62.85,56.18,90.12,-50.5,74.27,60.65,4
Burdur,Mediterranean,2.79,5.5,6.55,8.14,5.93,2.57,4.33,10.0,2.0,1.0,4.51,2.27,40.54,71.46,30.71,-45.55,61.75,42.1,34
Bursa,Marmara,5.29,3.16,3.4,4.06,1.07,3.35,3.92,10.0,2.0,3.0,6.3,1.67,41.54,22.59,33.14,-55.45,76.64,31.96,59
Denizli,Aegean,4.7,9.76,6.55,7.22,2.67,4.52,4.85,10.0,2.0,2.0,4.92,1.66,79.32,54.56,46.98,-50.5,68.1,52.01,12
Diyarbakır,Southeastern Anatolia,3.87,3.1,1.15,3.51,1.04,3.35,3.89,7.0,3.0,2.0,1.75,2.29,32.24,11.15,32.95,-40.6,44.43,22.37,68
Düzce,Black Sea,4.89,2.63,5.95,6.57,2.34,4.13,2.62,10.0,1.0,2.0,4.71,2.38,35.7,48.18,29.72,-45.55,62.31,34.94,52
