Province,Region,CinemaSeats,TheatreSeats,StudentsPerClassroom,StudentsPerTeacher,BooksPerPeople,DoctorsPerPatients,HospitalBedsPerPatient,EarthquakeRisk,FloodRisk,Landslide/RockFallRisk,GDPPerCapita,Unemployment,Culture,Education,Healthcare,NaturalDisasters,Economy,Index,Rank
Adana,Mediterranean,5.56,2.84,2.48,2.94,1.38,5.29,5.65,7.0,5.0,3.0,3.59,2.1,42.38,16.42,52.81,-55.45,57.6,29.71,62
Adıyaman,Southeastern Anatolia,2.18,1.65,3.51,5.84,2.08,3.14,3.26,7.0,3.0,4.0,1.79,3.91,12.83,35.51,25.17,-50.5,35.22,15.8,78
Afyonkarahisar,Aegean,3.94,3.53,6.46,6.42,2.83,3.57,5.21,7.0,3.0,2.0,3.49,2.55,36.37,53.16,39.66,-40.6,54.19,36.99,45
Aksaray,Central Anatolia,3.29,2.44,5.72,5.45,2.49,2.29,2.88,1.0,5.0,2.0,3.6,3.32,25.12,44.71,17.68,-20.8,50.1,30.48,59
Amasya,Black Sea,3.9,3.98,7.2,7.77,4.27,2.71,3.98,10.0,2.0,2.0,3.45,2.54,39.02,67.71,26.94,-50.5,54.0,35.58,48
Ankara,Central Anatolia,7.35,4.24,4.98,6.13,1.21,10.0,6.21,4.0,3.0,3.0,8.0,2.5,63.01,39.18,84.9,-30.7,82.46,61.07,4
Antalya,Mediterranean,6.93,4.47,4.98,5.45,1.31,6.14,5.07,7.0,4.0,4.0,6.65,1.85,61.78,36.79,54.46,-55.45,78.12,45.24,24
Ardahan,Eastern Anatolia,1.0,1.83,7.64,7.77,4.45,3.14,3.26,7.0,1.0,2.0,3.26,1.94,6.37,70.27,25.17,-30.7,56.54,33.2,53
Artvin,Black Sea,10.0,7.31,7.2,8.06,6.05,4.0,2.93,4.0,2.0,1.0,5.35,4.92,100.0,76.25,28.4,-15.85,51.03,61.31,3
Aydın,Aegean,4.32,3.83,6.02,7.1,2.37,4.86,4.86,10.0,2.0,6.0,3.71,2.77,40.77,52.25,45.39,-70.3,54.19,31.85,55
Ağrı,Eastern Anatolia,2.02,4.98,3.36,4.19,1.88,1.0,2.05,7.0,2.0,2.0,1.0,1.8,33.33,27.27,4.77,-35.65,43.4,19.53,73
Balıkesir,Marmara,5.34,9.54,5.57,7.39,2.63,3.14,4.53,10.0,2.0,2.0,4.54,1.69,84.29,52.66,32.9,-50.5,66.03,47.66,17
Bartın,Black Sea,3.23,5.47,5.28,7.1,3.95,2.29,3.3,10.0,1.0,4.0,3.01,4.36,44.32,55.72,20.24,-55.45,39.99,27.47,63
Batman,Southeastern Anatolia,2.88,1.96,3.95,3.9,1.57,1.86,3.3,7.0,1.0,1.0,1.91,3.42,19.36,27.22,17.62,-25.75,39.0,20.61,71
Bayburt,Black Sea,2.1,3.59,4.84,7.1,7.84,3.14,3.72,4.0,2.0,2.0,3.18,2.48,24.86,69.94,27.97,-20.8,52.7,39.97,37
Bilecik,Marmara,2.01,3.5,4.84,4.87,5.01,1.86,1.79,10.0,1.0,1.0,6.19,2.02,23.7,49.08,8.43,-40.6,74.21,29.98,61
Bingöl,Eastern Anatolia,3.45,8.26,5.13,6.42,3.36,2.29,4.09,10.0,5.0,5.0,2.37,4.4,63.79,49.86,25.05,-80.2,35.78,24.83,66
Bitlis,Eastern Anatolia,1.73,4.45,4.69,6.13,2.96,2.71,4.84,7.0,6.0,3.0,1.7,4.12,28.03,45.2,32.17,-60.4,33.36,20.84,70
Bolu,Black Sea,7.27,6.78,5.87,6.81,4.22,7.0,8.98,10.0,2.0,2.0,5.85,2.2,78.92,58.07,83.5,-50.5,70.99,61.6,2
Burdur,Mediterranean,2.73,6.06,6.31,8.35,5.78,2.71,4.74,10.0,2.0,1.0,4.28,2.35,44.91,72.66,31.56,-45.55,60.33,42.28,27
Bursa,Marmara,5.21,2.46,3.66,3.9,1.11,4.0,4.37,10.0,2.0,3.0,6.44,1.83,37.66,24.13,37.17,-55.45,76.94,31.39,56
Denizli,Aegean,5.07,8.82,6.16,7.1,2.67,4.86,5.51,10.0,2.0,2.0,4.82,1.85,77.89,54.07,49.34,-50.5,66.77,50.72,11
Diyarbakır,Southeastern Anatolia,4.88,2.89,2.18,3.52,1.09,3.57,4.53,7.0,3.0,2.0,1.91,2.27,38.31,16.38,35.52,-40.6,46.13,25.2,65
Düzce,Black Sea,4.86,6.58,4.98,6.13,2.42,4.43,2.93,10.0,1.0,2.0,4.47,2.53,62.04,44.17,31.02,-45.55,60.39,39.32,39
Edirne,Marmara,8.9,7.13,7.49,8.35,4.41,9.57,9.12,4.0,1.0,1.0,4.53,2.07,91.72,71.88,100.0,-10.9,63.61,80.48,1
Elazığ,Eastern Anatolia,2.63,3.85,3.8,6.42,2.41,4.0,10.0,7.0,2.0,3.0,3.0,2.91,29.97,40.46,71.44,-40.6,48.92,38.84,41
Erzincan,Eastern Anatolia,3.08,8.48,6.46,8.35,4.94,5.29,3.58,10.0,4.0,5.0,4.93,2.84,62.82,69.82,40.21,-75.25,61.32,41.03,34
Erzurum,Eastern Anatolia,6.0,4.13,5.87,6.42,3.34,6.14,9.28,7.0,10.0,7.0,2.73,1.94,53.57,52.83,80.09,-100.0,53.26,36.23,46
Eskişehir,Central Anatolia,6.02,6.38,4.98,7.1,2.22,6.57,7.42,7.0,1.0,1.0,6.01,1.88,68.25,47.35,71.38,-25.75,73.96,60.15,5
Gaziantep,Southeastern Anatolia,3.75,5.73,1.0,1.0,1.06,2.71,5.28,4.0,2.0,1.0,3.68,1.94,49.37,1.0,34.85,-15.85,59.15,33.41,52
Giresun,Black Sea,3.15,1.38,6.75,7.39,4.52,3.57,6.4,4.0,5.0,6.0,2.87,2.5,17.36,65.32,46.91,-55.45,50.65,32.48,54
Gümüşhane,Black Sea,2.0,10.0,7.49,8.74,5.72,1.86,2.86,4.0,2.0,3.0,2.59,2.33,65.66,78.89,14.94,-25.75,49.97,47.25,19
Hakkari,Eastern Anatolia,1.0,1.0,1.15,4.19,2.21,1.86,1.63,10.0,2.0,2.0,2.73,7.67,1.0,19.51,7.45,-50.5,17.74,0.0,81
Hatay,Mediterranean,3.38,3.44,2.33,3.9,1.58,3.14,4.23,10.0,3.0,2.0,2.95,2.02,32.17,20.59,31.08,-55.45,54.13,21.88,68
Isparta,Mediterranean,4.45,3.64,6.75,8.06,7.8,7.86,8.79,10.0,3.0,1.0,4.16,4.1,40.38,81.61,87.58,-50.5,48.73,53.28,8
Iğdır,Eastern Anatolia,1.84,2.46,4.84,6.42,3.04,1.86,1.88,7.0,1.0,2.0,2.76,2.35,15.87,47.35,8.98,-30.7,50.9,24.36,67
Kahramanmaraş,Mediterranean,2.84,1.97,1.59,3.23,1.52,3.14,4.16,7.0,5.0,3.0,3.23,2.09,19.17,14.52,30.65,-55.45,55.43,17.32,77
Karabük,Black Sea,6.28,6.45,6.75,8.06,3.91,4.43,4.7,10.0,1.0,4.0,3.83,2.57,70.38,65.57,41.79,-55.45,56.17,45.93,22
Karaman,Central Anatolia,2.7,4.79,6.75,6.13,3.79,2.71,3.72,1.0,1.0,2.0,4.91,2.73,36.5,57.12,25.35,-1.0,61.88,46.28,21
Kars,Eastern Anatolia,2.09,2.84,5.87,6.42,3.67,4.43,4.28,7.0,3.0,2.0,2.22,3.19,19.95,54.19,39.24,-40.6,42.35,30.06,60
