Province,Region,CinemaSeats,TheatreSeats,StudentsPerClassroom,StudentsPerTeacher,BooksPerPeople,DoctorsPerPatients,HospitalBedsPerPatient,EarthquakeRisk,FloodRisk,Landslide/RockFallRisk,GDPPerCapita,Unemployment,Culture,Education,Healthcare,NaturalDisasters,Economy,Index,Rank
Kastamonu,Black Sea,5.21,5.97,5.87,7.1,4.36,2.71,4.91,4.0,3.0,6.0,3.84,2.57,60.36,59.84,32.6,-45.55,56.23,42.18,28
Kayseri,Central Anatolia,4.93,4.08,3.21,4.19,1.86,5.29,5.79,4.0,5.0,4.0,4.53,1.9,46.33,26.56,53.67,-45.55,64.66,37.71,43
Kilis,Southeastern Anatolia,2.95,2.84,1.0,2.55,2.71,4.86,3.47,4.0,1.0,1.0,2.6,5.13,25.51,14.19,36.92,-10.9,32.68,25.86,64
Kocaeli,Marmara,5.99,4.31,3.51,4.48,1.09,3.57,3.65,10.0,2.0,1.0,9.3,2.33,54.67,25.82,30.16,-45.55,91.57,40.47,35
Konya,Central Anatolia,4.37,3.88,4.69,5.45,2.03,5.29,6.14,4.0,1.0,1.0,4.11,1.81,41.41,38.56,55.8,-10.9,62.62,48.19,16
Kütahya,Aegean,3.81,2.43,6.75,7.1,3.37,2.71,5.81,7.0,2.0,1.0,4.2,2.3,28.42,59.39,38.08,-30.7,60.14,40.13,36
Kırklareli,Marmara,6.52,3.89,6.31,6.42,3.12,2.71,4.09,1.0,1.0,2.0,6.21,1.86,55.38,53.74,27.61,-1.0,75.33,54.1,6
Kırıkkale,Central Anatolia,4.04,1.97,6.75,7.39,4.21,6.14,8.53,10.0,3.0,2.0,3.89,1.88,26.93,64.04,75.52,-55.45,60.82,44.28,26
Kırşehir,Central Anatolia,3.72,5.04,7.05,8.35,4.83,3.14,2.74,10.0,1.0,2.0,3.19,2.36,44.71,71.8,22.01,-45.55,53.51,37.91,42
Malatya,Eastern Anatolia,5.4,4.5,4.98,6.42,2.23,6.14,6.81,7.0,2.0,5.0,2.77,2.3,52.08,44.58,65.05,-50.5,51.27,41.92,30
Manisa,Aegean,4.1,2.91,3.95,5.84,2.08,4.43,5.86,10.0,2.0,2.0,5.22,1.81,33.4,37.33,48.86,-50.5,69.5,35.94,47
Mardin,Southeastern Anatolia,2.48,1.0,2.62,3.52,1.46,2.29,2.23,4.0,2.0,1.0,2.57,2.24,10.57,19.72,13.73,-15.85,50.41,20.9,69
Mersin,Mediterranean,4.18,4.12,4.54,5.45,1.54,3.57,4.26,4.0,3.0,3.0,4.43,2.09,41.74,35.92,33.88,-30.7,62.87,37.22,44
Muğla,Aegean,6.36,6.44,5.87,8.06,2.16,4.43,3.12,10.0,2.0,1.0,6.1,1.68,70.84,54.73,32.17,-45.55,75.76,48.31,15
Muş,Eastern Anatolia,2.15,6.73,3.21,5.45,2.57,1.43,2.6,10.0,2.0,2.0,1.84,5.65,45.49,34.69,10.74,-50.5,24.74,17.53,76
Nevşehir,Central Anatolia,6.47,5.21,6.75,7.1,10.0,2.29,3.58,4.0,2.0,2.0,3.57,2.4,63.59,86.72,21.94,-20.8,55.61,53.1,9
Niğde,Central Anatolia,2.41,1.82,5.72,6.13,3.26,1.86,3.93,1.0,2.0,2.0,3.47,2.58,15.42,50.69,21.46,-5.95,53.88,35.16,49
Ordu,Black Sea,2.91,4.73,5.28,6.81,3.32,3.14,5.12,4.0,2.0,3.0,2.74,2.01,37.47,51.92,36.5,-25.75,52.89,39.56,38
Osmaniye,Mediterranean,2.53,2.64,3.07,3.9,1.88,2.29,3.81,10.0,2.0,1.0,2.69,2.89,21.5,24.87,23.35,-45.55,47.12,19.07,74
Rize,Black Sea,5.32,5.05,6.9,7.39,4.3,5.71,5.84,1.0,3.0,9.0,4.09,3.36,55.12,65.03,56.53,-45.55,52.89,47.32,18
Sakarya,Marmara,6.19,3.5,4.54,5.84,1.39,3.57,2.6,10.0,2.0,2.0,5.27,1.85,50.73,36.91,23.77,-50.5,69.56,33.9,51
Samsun,Black Sea,3.69,2.24,4.98,7.1,1.84,6.14,6.74,7.0,2.0,3.0,3.33,2.14,26.41,45.78,64.63,-40.6,55.74,39.29,40
Siirt,Southeastern Anatolia,2.08,1.0,4.39,4.48,1.94,2.29,4.28,10.0,1.0,2.0,2.29,2.14,7.98,32.96,26.21,-45.55,49.29,18.97,75
Sinop,Black Sea,9.0,7.29,6.61,7.39,5.99,2.71,4.47,4.0,2.0,4.0,2.92,8.4,93.4,70.81,29.92,-30.7,14.39,45.77,23
Sivas,Central Anatolia,4.47,5.73,5.28,7.39,4.79,4.86,7.81,4.0,8.0,5.0,3.36,3.11,54.02,60.38,63.35,-65.35,49.91,41.88,31
Tekirdağ,Marmara,4.96,4.21,3.8,3.23,1.57,3.14,4.28,7.0,1.0,1.0,7.96,1.92,47.36,23.84,31.38,-25.75,85.8,41.96,29
Tokat,Black Sea,4.81,2.46,4.84,7.77,2.95,3.57,6.77,10.0,4.0,3.0,2.31,2.68,35.08,52.54,49.16,-65.35,46.07,30.65,58
Trabzon,Black Sea,5.78,6.01,5.57,7.39,2.47,6.57,7.56,1.0,4.0,10.0,3.65,2.25,64.31,52.0,72.24,-55.45,57.04,48.86,14
Tunceli,Eastern Anatolia,2.37,3.67,10.0,10.0,7.07,5.29,2.35,10.0,2.0,4.0,4.99,2.98,27.12,100.0,32.72,-60.4,60.82,41.37,33
Uşak,Aegean,7.19,4.87,4.98,7.77,3.28,2.71,5.98,10.0,1.0,1.0,4.47,2.45,66.05,54.48,39.11,-40.6,60.88,46.3,20
Van,Eastern Anatolia,2.93,1.42,3.07,4.48,1.15,2.71,4.42,7.0,7.0,3.0,1.25,2.26,16.2,24.26,29.62,-65.35,42.1,12.94,79
Yalova,Marmara,8.47,7.78,5.43,6.13,1.98,3.14,3.56,10.0,1.0,2.0,5.95,2.23,93.15,44.21,27.0,-45.55,71.42,48.88,13
Yozgat,Central Anatolia,4.59,4.25,7.2,7.39,3.85,3.57,5.33,4.0,5.0,2.0,2.54,2.65,45.23,64.42,40.39,-35.65,47.68,41.82,32
Zonguldak,Black Sea,6.95,5.56,5.13,5.84,2.06,4.43,7.02,7.0,1.0,4.0,3.56,3.43,68.96,42.11,55.92,-40.6,49.17,45.2,25
Çanakkale,Marmara,3.07,7.33,6.02,7.39,2.87,5.29,5.47,10.0,1.0,1.0,5.75,2.42,55.32,55.51,51.72,-40.6,69.0,49.06,12
Çankırı,Central Anatolia,2.87,2.31,7.05,5.45,8.35,2.29,3.77,10.0,2.0,3.0,3.68,2.47,21.56,74.35,23.1,-55.45,55.86,31.13,57
Çorum,Black Sea,5.68,2.17,6.31,6.42,4.48,3.14,5.49,7.0,4.0,4.0,2.92,2.37,38.83,59.34,38.75,-55.45,51.77,34.6,50
İstanbul,Marmara,9.25,5.45,1.89,1.29,1.02,6.14,4.33,7.0,2.0,1.0,10.0,1.67,83.12,5.7,49.95,-30.7,100.0,53.35,7
İzmir,Aegean,7.4,6.35,3.95,6.13,1.11,7.86,4.74,10.0,2.0,2.0,6.63,1.8,76.98,34.52,62.92,-50.5,78.3,51.88,10
Şanlıurfa,Southeastern Anatolia,2.72,2.36,2.77,1.58,1.0,1.86,2.7,4.0,3.0,1.0,1.1,1.0,20.92,10.44,13.97,-20.8,48.98,19.63,72
Şırnak,Eastern Anatolia,1.0,2.23,2.77,3.9,1.38,1.43,1.0,7.0,2.0,1.0,2.36,10.0,8.95,21.58,1.0,-30.7,1.0,1.66,80
